asc,
blobandconquer,
boost1.49,
botan1.10,
brewtarget,
bsnes,
capi4hylafax,
cclive,
cdcat,
crimson,
csstidy,
cupt,
ekiga,
esperanza,
fig2sxd,
filezilla,
firebird2.5,
flush,
fritzing,
glaurung,
grantlee,
kadu,
kde-runtime,
kde-style-polyester,
kdesdk,
kvpm,
lammps,
libitpp,
liblastfm,
liggghts,
mysql-5.5,
necpp,
libcrypto++,
ode,
okular,
openttd,
partimage,
pgadmin3,
pgagent,
pinball,
pycryptopp,
qbittorrent,
qbrew,
qtcreator,
scid,
scummvm,
springlobby,
starfighter,
stockfish,
superkaramba,
tripwire,
uncrustify,
vavoom,
vym,
xmoto,
