ace,
asio,
bluedevil,
boost1.49,
btanks,
burgerspace,
chromium-browser,
clanlib,
cxxtools,
dbus-c++,
dvswitch,
esperanza,
filezilla,
firebird2.5,
flamerobin,
flush,
freemedforms-project,
ibutils,
inspircd,
kde-workspace,
kde4libs,
kdiff3,
konversation,
kover,
libcapsinetwork,
libccrtp,
libktorrent,
libwibble,
minbif,
minetest,
mongodb,
monopd,
mysql-5.5,
ncbi-blast+,
net6,
ofono-phonesim,
pingus,
psi-plus,
qpid-cpp,
qt4-x11,
qtsmbstatus,
qxmlrpc,
sipwitch,
sobby,
springlobby,
sword,
teeworlds,
syncevolution,
virtualbox,
vnc4,
voxbo,
warmux,
wesnoth-1.10,
wxwidgets2.8,
x11-session-utils,
