ant,
apache-log4j1.2,
basex,
batik,
bnd,
bouncycastle,
checkstyle,
cortado,
easyconf,
eclipse,
eclipse-gef,
felix-framework,
freemind,
freeplane,
glassfish,
ikvm,
ivy,
jackrabbit,
jajuk,
jakarta-ecs,
jakarta-jmeter,
java-gnome,
jclic,
jcsp,
jenkins-winstone,
josm,
junit4,
knopflerfish-osgi,
libhibernate-commons-annotations-java,
libhibernate3-java,
libhtmlparser-java,
libjboss-web-services-java,
libjdom1-java,
libnb-javaparser-java,
libpdfbox-java,
libreoffice,
libsaxon-java,
libslf4j-java,
libspring-ldap-java,
libswingx1-java,
libtritonus-java,
libxalan2-java,
logback,
lucene-solr,
lwjgl,
mauve,
maven-shade-plugin,
lucene2,
msv,
mule,
netbeans,
omegat,
osgi-core,
pylucene,
qdox,
saxonb,
service-wrapper-java,
simple-xml,
sunflow,
svgsalamander,
tomcat6,
tomcat7,
uima-addons,
uimaj,
weka,
