amarok,
antigrav,
bloboats,
boswars,
bsnes,
btanks,
clanlib,
crimson,
cuyo,
einstein,
epiphany,
extremetuxracer,
falconpl,
fbterm,
fife,
gemanx-gtk2,
gle-graphics,
groff,
guichan,
jd,
kde-runtime,
kde4libs,
libucimf,
megaglest,
mousetrap,
openuniverse,
pcmanx-gtk2,
pinball,
pingus,
qonk,
rafkill,
rlvm,
scummvm,
seq24,
smc,
texmacs,
tomatoes,
triplane,
warmux,
wesnoth-1.10,
wxwidgets2.8,
xye,
