9wm,
acedb,
apcupsd,
ample,
ant-phone,
asciijump,
avahi,
avfs,
awesome,
baycomusb,
bglibs,
bind9,
binutils,
binutils-h8300-hms,
bird,
bld,
bluez,
burp,
cfengine2,
cgoban,
charybdis,
chrony,
clamav,
collectd,
connman,
crossfire-client,
cvs,
cyrus-sasl2,
dancer-ircd,
dante,
db4.7,
cups,
dcap,
binkd,
dhcpcd,
diet,
dns2tcp,
dovecot,
directfb,
dspam,
dx,
edbus,
elk,
erlang,
evilwm,
fcitx-fbterm,
fio,
fcitx,
freeradius,
freetts,
freewnn,
gambc,
geoclue,
gfarm,
gimp-gap,
gkrellm,
globus-rls-client,
glusterfs,
gmerlin,
gnats,
gnunet,
goban,
gsasl,
gtetrinet,
gtkatlantic,
guacd,
gxine,
heimdal,
icecast2,
imagemagick,
infon,
iodine,
ircd-hybrid,
ircd-ircu,
ircd-ratbox,
irda-utils,
ivykis,
jack-audio-connection-kit,
jack-tools,
jwm,
kde-workspace,
koules,
krb5,
ladish,
lam,
larswm,
lbreakout2,
lcdproc,
ldm,
libassuan,
libbonobo,
libcache-memcached-fast-perl,
libchipcard,
libdbusmenu,
libgadu,
libguac,
libguac-client-rdp,
libguac-client-vnc,
libical,
libixp,
liblscp,
libmp3splt,
libowfat,
libssh,
linux,
lldpd,
lsh-utils,
lwm,
mah-jong,
mcelog,
mmpong,
mpd,
mysql-5.5,
nat,
net-snmp,
nfs-utils,
ngircd,
obexftp,
ofono,
ogdi-dfsg,
olsrd,
nmh,
open-iscsi,
openafs,
openbios-ppc,
openbios-sparc,
openbox,
openct,
openntpd,
orbit2,
oroborus,
perdition,
pgbouncer,
pioneers,
player,
polipo,
powerman,
projectm,
pulseaudio,
python-pyds9,
radare2,
rdist,
redhat-cluster,
regina-rexx,
rlpr,
roaraudio,
roarplaylistd,
s3d,
samba,
samba4,
sanlock,
sawfish,
sbrsh,
shishi,
siege,
smsclient,
spacenavd,
speech-dispatcher,
ssh-contact,
stunnel4,
subtle,
subversion,
subvertpy,
swi-prolog,
syslog-ng,
task-spooler,
telepathy-glib,
tmux,
trickle,
umview,
usbmuxd,
userv,
vtun,
w9wm,
wine,
wmaker,
wmii,
windowlab,
xblast-tnt,
xfrisk,
xfwm4,
xinit,
xlog,
xmlrpc-c,
xmlrpc-epi,
xmms2,
xorg-server,
xpa,
xpilot-ng,
xview,
yaz,
zephyr,
zsync,
