asc,
between,
celestia,
clementine,
coin3,
condor,
cupt,
desmume,
digikam,
dirac,
fim,
fityk,
flush,
fqterm,
fracplanet,
freemedforms-project,
gl-117,
gobby,
grass,
gravitation,
groff,
k3d,
kdiff3,
kicad,
kig,
konversation,
liblas,
libmsn,
mkvtoolnix,
mlt,
mongodb,
multiget,
mysql-5.5,
mysql-workbench,
net6,
obby,
partimage,
passage,
plasma-widget-fastuserswitch,
primrose,
psi,
psi-plus,
pyicu,
qtcreator,
qtsmbstatus,
ragel,
sfftobmp,
sffview,
sobby,
spew,
stardict,
tagua,
torcs,
udt,
vavoom,
