analitza,
blender,
boost1.49,
bsnes,
btanks,
calligra,
chromium-browser,
coolkey,
dbus-c++,
flush,
fife,
gl-117,
groff,
hydrogen,
kde4libs,
kdegames,
kst,
libqglviewer,
maelstrom,
mcrl2,
megaglest,
mrmpi,
mrtrix,
msgpack,
ncbi-blast+,
net6,
obby,
openchange,
pipenightdreams,
pyside,
qt-gstreamer,
qt4-x11,
qtcreator,
raidutils,
scummvm,
telepathy-qt,
texmacs,
tinymux,
ucommon,
wxwidgets2.8,
zeromq,
