activemq-protobuf,
activemq,
airport-utils,
ant,
antlr3,
apache-mime4j,
aspectj,
axis,
azureus,
chromium-browser,
clirr,
cortado,
dbus-java,
dnsjava,
eclipse,
freecol,
geronimo-javamail-1.4-spec,
geronimo-jms-1.1-spec,
glassfish,
groovy,
groovy1.7.2,
guice,
ikvm,
ivy,
jcsp,
jtharness,
jbossas4,
libgnumail-java,
libhibernate3-java,
libisrt-java,
libjgroups-java,
libjgroups2.6-java,
libjibx1.1-java,
libjibx1.2-java,
libreoffice,
libspring-webflow-2.0-java,
libvamsas-client-java,
libxalan2-java,
lucene-solr,
lucene2,
mockobjects,
mondrian,
mozc,
mule,
netbeans,
openid4java,
openjpa,
paraview,
protobuf,
pylucene,
red5,
remuco,
saxonb,
sisu-guice,
tau,
wsdl4j,
