4store,
acm,
alliance,
analog,
apcalc,
apparix,
arp-scan,
asterisk,
augeas,
batctl,
batmand,
bind9,
binfmt-support,
binutils,
binutils-h8300-hms,
bison,
boa,
boost1.49,
bootp,
c-icap,
cableswig,
ccache,
cccc,
cdrdao,
cflow,
charybdis,
chiark-tcl,
chromium-browser,
cmake,
cmph,
codeblocks,
conntrack,
coreutils,
cpio,
cpu,
criticalmass,
ctdb,
curl,
cvs,
cvsps,
cyrus-imapd-2.4,
cyrus-imspd,
dadadodo,
dancer-ircd,
db,
db1-compat,
db4.7,
db4.8,
dc3dd,
dcfldd,
cdrkit,
dico,
dict-gcide,
diffutils,
digikam,
diod,
djmount,
dmake,
dnprogs,
dnsproxy,
dovecot,
directfb,
dspam,
dx,
elfutils,
elinks,
erlang,
evince,
febootstrap,
fftw3,
findutils,
fpc,
fprobe,
fprobe-ulog,
freebsd-buildutils,
freecraft,
freedink,
freefem++,
freeipmi,
freeradius,
fteqcc,
ftjam,
fusesmb,
ganglia,
gargoyle-free,
gauche,
gcl,
gcompris,
gdb,
gdbm,
gearmand,
genders,
gettext,
gfarm,
git,
glib2.0,
gmemusage,
gnet,
gnugo,
gnulib,
gnutls26,
gobject-introspection,
gpsim,
gramophone2,
grep,
gtk-gnutella,
gtkboard,
gtkhash,
gprolog,
gtkwave,
guile-1.6,
guile-1.8,
guile-2.0,
heimdal,
heroes,
htdig,
html-xml-utils,
hunt,
icedove,
iceweasel,
id-utils,
ifmail,
iftop,
inn2,
ipband,
ircd-hybrid,
ircd-irc2,
ircd-ircu,
ircd-ratbox,
isakmpd,
isc-dhcp,
ispell,
jam,
jemalloc,
jocaml,
joe,
jupp,
kbuild,
kfreebsd-8,
kfreebsd-9,
krb5,
ladr,
lcd4linux,
ldb,
libaal,
libcgns,
libchewing,
libcitadel,
libconvert-binary-c-perl,
libdbd-sqlite2-perl,
libdebian-installer,
libelf,
libguestfs,
libibcommon,
libiksemel,
libkarma,
libmaa,
libmatchbox,
libmemcached,
libnids,
libnih,
liboauth,
libreoffice,
libsynce,
libtecla,
libxml2,
linux,
linux86,
log4c,
lmms,
luatex,
lvm2,
magic,
mailagent,
mairix,
make-dfsg,
man-db,
mawk,
mcl,
memcached,
mesa,
microdc2,
mktorrent,
mona,
mozart,
mtools,
munge,
mutt,
mysql-5.5,
nacl,
nasm,
ncurses-hexedit,
ne,
neko,
netatalk,
netcf,
netexpect,
netsniff-ng,
netsurf,
netw-ib-ox-ag,
newlib,
ngircd,
nickle,
nis,
nn,
nss,
ntop,
ntp,
nwchem,
ocaml,
onak,
open-axiom,
openipmi,
openldap,
openmpi,
openswan,
openvpn-auth-ldap,
ophcrack,
otf,
ovito,
paje.app,
paraview,
pari,
parrot,
patch,
openvswitch,
pccts,
pdnsd,
perl,
phalanx,
php5,
plplot,
pmacct,
pmake,
pmk,
polyglot,
postgresql-8.4,
postgresql-9.1,
powerman,
pktstat,
pspp,
pycparser,
pymol,
quagga,
racket,
radare2,
radsecproxy,
rc,
rcs-blame,
rats,
recode,
redhat-cluster,
redis,
remake,
remem,
roaraudio,
rplay,
rrep,
ruby-ferret,
rp-pppoe,
ruby1.8,
ruby1.9.1,
rxp,
s3d,
samba,
samba4,
sflphone,
shapetools,
shell-fm,
siege,
simhash,
similarity-tester,
sks-ecc,
sma,
snacc,
slrn,
sord,
spamprobe,
spass,
splint,
sqlite,
sqlite3,
squid3,
starpu,
subversion,
survex,
squid,
swi-prolog,
swig2.0,
swish-e,
symmetrica,
tacacs+,
tachyon,
tdb,
tgif,
tar,
tkgate,
tree,
trousers,
tucnak2,
uml-utilities,
unrtf,
up-imapproxy,
vanessa-adt,
vde2,
virtualbox,
vnc4,
vsftpd,
vtk,
w3m,
wget,
wine,
wine-gecko-1.4,
wzdftpd,
x11-apps,
virtuoso-opensource,
xbmc,
xcircuit,
xdmf,
xen,
xfonts-utils,
xfsprogs,
xmhtml,
xorp,
xotcl,
xpaint,
texlive-bin,
xview,
yap,
yorick,
zile,
zimpl,
zoem,
zsync,
