antlr3,
asm,
asm2,
asm3,
azureus,
babel,
bcel,
bnd,
bouncycastle,
castor,
checkstyle,
db,
db4.7,
db4.8,
dom4j,
eclipse,
eclipse-emf,
eclipselink,
ehcache,
emma-coverage,
eclipse-linuxtools,
felix-utils,
freemind,
freeplane,
galax,
geronimo-jpa-2.0-spec,
geronimo-stax-1.2-spec,
glassfish,
groovy,
groovy1.7.2,
ikvm,
java-gnome,
javadap,
jclic,
jellydoc,
jenkins-commons-jelly,
jenkins-dom4j,
jexcelapi,
jing-trang,
jruby,
jsoup,
jss,
jbossas4,
jericho-html,
jhdf,
jython,
jtidy,
libcaca,
libdb-je-java,
libexml-java,
libhtmlparser-java,
libjdom1-java,
libisrt-java,
libmx4j-java,
libnb-javaparser-java,
libpdfbox-java,
libpal-java,
libspring-ldap-java,
libstax-java,
libwoodstox-java,
libxalan2-java,
libxpp2-java,
logisim,
lucene-solr,
mauve,
lucene2,
mojarra,
netbeans,
omegat,
pixelmed,
proguard,
pylucene,
scala,
serp,
simple-xml,
sisu-ioc,
tiles,
tomcat7,
txw2,
uimaj,
weka,
xml-commons-external,
xmlbeans,
xom,
