ahcpd,
aolserver4,
airstrike,
allegro4.4,
alsa-lib,
alsa-tools,
apache2,
apcalc,
apt-build,
arcload,
asclock,
asterisk,
atlas,
audacious,
audacious-plugins,
avinfo,
avrdude,
bind9,
boa,
booth,
bopm,
brltty,
bti,
c2hs,
chromium-browser,
citadel,
cntlm,
connman,
crashmail,
crossfire-client,
cyrus-sasl2,
dante,
dhcpcd-ui,
djmount,
dns2tcp,
dvswitch,
ebnetd,
elementary,
elementtidy,
elilo,
etw,
faad2,
fceu,
fcitx-chewing,
fcitx-hangul,
fcitx-m17n,
fftw,
fizmo,
foremost,
freegish,
freetds,
gammu,
gargoyle-free,
gcompris,
geany-plugins,
getstream,
gfarm,
ghex,
girara,
git,
gkdebconf,
gkrellm,
gnarwl,
gogoc,
gridengine,
grub,
gtetrinet,
gtimer,
heartbeat,
heimdal,
hercules,
i3-wm,
ibus,
icinga,
instead,
ipip,
ipwatchd,
ipxe,
irsim,
iscsitarget,
isync,
jesred,
john,
jack,
keytouch-editor,
kraptor,
latrace,
lbreakout2,
libao,
libapache-mod-musicindex,
libcgroup,
libdesktop-agnostic,
libgii,
libgphoto2,
libguestfs,
libnih,
libnss-pgsql,
libpam-abl,
libpam-krb5,
libssh,
libsynce,
libuser,
libvisual-plugins,
libwebp,
linux,
linux-igd,
linux-tools,
liquidwar,
lldpad,
logrotate,
ltris,
lvm2,
mcelog,
mdadm,
memtest86,
memtest86+,
mgetty,
minicom,
mooproxy,
mtools,
muddleftpd,
mudita24,
multipath-tools,
multitail,
mupen64plus-core,
mupen64plus-input-sdl,
mxallowd,
nagios3,
nas,
navit,
net-acct,
netatalk,
netplug,
neverball,
ninja,
nodau,
node,
nvclock,
olsrd,
omniorb-dfsg,
nmh,
open-cobol,
open-iscsi,
openafs,
openbgpd,
openbox,
opendkim,
openhpi,
openldap,
openntpd,
pavuk,
pimd,
plucker,
pnp4nagios,
polipo,
pound,
ppp,
prads,
prayer,
pump,
putty,
python2.6,
python2.7,
python3.2,
qstat,
radare2,
radiusclient,
radiusclient-ng,
redhat-cluster,
redis,
refit,
remctl,
restartd,
roaraudio,
rpm2html,
rush,
s390-tools,
sbrsh,
schism,
sflphone,
shapetools,
shishi,
simgrid,
sndobj,
sope,
speech-dispatcher,
splitvt,
sra-sdk,
stax,
strongswan,
subversion,
sxiv,
syslinux,
tacacs+,
tcm,
thinkfan,
tidy,
tin,
tint2,
tintin++,
tor,
u-boot,
up-imapproxy,
util-linux,
vdr,
vdr-plugin-skinenigmang,
vdr-plugin-xineliboutput,
uhub,
vifm,
virtualbox,
vnc4,
volumeicon,
wdm,
webauth,
weex,
wide-dhcpv6,
wine,
wmail,
wmdrawer,
wmf,
wpa,
virtuoso-opensource,
vpnc,
vzctl,
xfce4-session,
xfs,
xine-ui,
xloadimage,
xmms2,
xoo,
xorg-server,
xpilot-ng,
xqf,
xrdp,
xtel,
xvidcore,
yabause,
yasr,
yorick,
zathura,
zbar,
