9base,
acm,
allegro4.4,
apparix,
argyll,
asterisk,
bar,
bird,
bitlbee,
bsdgames,
bsdmainutils,
bvi,
cableswig,
cde,
calcurse,
cgdb,
chimera2,
chromium-browser,
cjet,
condor,
ctdb,
cvs,
cwirc,
dante,
dbench,
dcap,
cdrkit,
dialign-t,
diffutils,
diod,
distcc,
dosfstools,
dvgrab,
dvi2dvi,
dvi2ps,
ecl,
eclipse-cdt,
ecryptfs-utils,
ed,
elk,
erlang,
eukleides,
elvis,
f2c,
fdm,
fish,
exfat-utils,
fuse-exfat,
gargoyle-free,
gawk,
gcl,
gdcm,
gerstensaft,
ggobi,
gforth,
gmp,
gpiv,
graphviz,
grass,
grafx2,
gwaei,
hamlib,
hercules,
hmmer,
hpcc,
hplip,
httping,
icedove,
icinga,
indent,
inetutils,
ircd-hybrid,
jamin,
jfsutils,
jocaml,
jove,
jpnevulator,
kfreebsd-8,
kfreebsd-9,
ksh,
ldb,
lib3ds,
libevent-perl,
libgphoto2,
libgpiv,
libgtop2,
libhx,
libimager-perl,
libmatio,
libnih,
libopenraw,
libopenusb,
libowfat,
libusbx,
libwebp,
libzorpll,
linux,
linux-atm,
linux86,
lsh-utils,
lua-sec,
luasocket,
luatex,
lush,
mac-fdisk,
mafft,
mailagent,
mailutils,
love,
mcl,
mgetty,
mixal,
mlt,
mlv-smile,
moc,
mon,
mono,
moria,
mplayer2,
nas,
ndoutils,
netbeans,
netkit-ntalk,
nettle,
netw-ib-ox-ag,
newlib,
ngircd,
nickle,
numdiff,
nyquist,
ocaml,
open-iscsi,
openldap,
orbital-eunuchs-sniper,
otter,
pacemaker,
pantomime1.2,
parrot,
paxtest,
perdition,
phalanx,
picolisp,
pmccabe,
polipo,
polyglot,
posh,
premake,
proxytunnel,
pvrg-jpeg,
pymca,
python-scipy,
qhull,
radare2,
recoverdm,
reiserfsprogs,
resample,
rggobi,
rpy,
rsync,
rubrica,
ruby1.8,
ruby1.9.1,
s3d,
samba,
samba4,
scheme48,
scsh-0.6,
sendfile,
sitplus,
slurm-llnl,
snd,
socket,
st,
strace,
subversion,
symmetrica,
systemtap,
tcsh,
tdb,
tdl,
teem,
tig,
tightvnc,
tint,
tsdecrypt,
ttyrec,
u-boot,
uzbl,
vftool,
vlc,
vnc4,
vstream-client,
x11-apps,
vzctl,
xbmc,
xen,
xfs,
xfsprogs,
xmlsec1,
xnbd,
xorg-server,
texlive-bin,
xview,
z88dk,
zh-autoconvert,
zoem,
zoo,
zvbi,
