0ad,
amarok,
asio,
ballz,
bind9,
bino,
boost1.49,
botan1.10,
bsnes,
btanks,
cbmc,
brutalchess,
clasp,
cppcheck,
critterding,
cxxtools,
dds,
digikam,
dosbox,
focuswriter,
fife,
gfan,
ginac,
gringo,
inkscape,
inspircd,
kde-runtime,
kde-workspace,
kdeplasma-addons,
kdewebdev,
khangman,
klettres,
lammps,
libcommoncpp2,
libitpp,
libktorrent,
liggghts,
lightspark,
mona,
mednafen,
mysql-5.5,
ode,
openuniverse,
plastimatch,
plee-the-bear,
projectm,
powertop,
python-visual,
qonk,
qtcreator,
scummvm,
supertux,
texmacs,
tinymux,
tomatoes,
toonloop,
ucommon,
vmmlib,
vpb-driver,
wesnoth-1.10,
wxwidgets2.8,
xbmc,
xmoto,
