atanks,
bespin,
blinken,
boswars,
bsnes,
btanks,
clanlib,
crimson,
critterding,
digikam,
extremetuxracer,
fife,
fox1.6,
graphicsmagick,
guichan,
imagemagick,
inkscape,
k3d,
kde4libs,
kdegames,
mana,
mysql-workbench,
pingus,
pipewalker,
plee-the-bear,
pyside,
qmmp,
qonk,
qt-at-spi,
qt4-x11,
qtoctave,
rlvm,
sitplus,
supertux,
warmux,
wesnoth-1.10,
wxwidgets2.8,
