a2jmidid,
abook,
acpid,
aolserver4,
alsaplayer,
amavisd-milter,
amora-server,
anacron,
ant-phone,
anubis,
apache2,
apwal,
aria2,
arpalert,
audacity,
autofs,
avahi,
ayttm,
bind9,
audiopreview,
binutils,
bip,
bird,
bitlbee,
bluez,
boa,
bogofilter,
bopm,
briquolo,
brltty,
bsdgames,
btscanner,
burp,
c-cpp-reference,
c-icap,
ccrypt,
cdebootstrap,
cadaver,
ceferino,
centerim,
certmonger,
cfengine2,
cfingerd,
chemtool,
chromium-browser,
claws-mail,
clustalo,
commons-daemon,
cone,
connman,
conntrack,
courier,
couriergrey,
ctdb,
cvs,
cvsd,
dante,
db,
db4.7,
db4.8,
dcfldd,
cups,
deutex,
dhis-server,
dict-gcide,
djmount,
dmraid,
dnsmasq,
dnsproxy,
dopewars,
dpkg,
dracut,
directfb,
dx,
e2fsprogs,
e2undel,
easytag,
eb,
ebview,
ekg,
ekg2,
enigma,
enscript,
epdfview,
epic4,
epic5,
exim4,
fauhdlc,
faumachine,
fceu,
fdclone,
fdm,
fio,
flvstreamer,
exfat-utils,
fcitx,
freebsd-utils,
freeciv,
freedink,
freepops,
freeradius,
freetds,
frozen-bubble,
fsvs,
fswebcam,
fuse-exfat,
garlic,
gbatnav,
gcc-h8300-hms,
gcompris,
gdb,
geany,
geda-gaf,
gems,
gentoo,
gettext,
gftp,
git,
gjs,
gkdebconf,
gkrellm,
gliv,
gmerlin,
gmerlin-avdecoder,
gmfsk,
gmidimonitor,
gmpc,
gnotime,
gnulib,
gnupg,
goattracker,
gogoc,
goo,
graphicsmagick,
grun,
gsl,
gst-plugins-bad0.10,
gstreamer0.10-ffmpeg,
gtick,
gtk-gnutella,
gtklp,
gtypist,
guacd,
gup,
hatari,
hddtemp,
heimdal,
htdig,
hunspell,
i3-wm,
icecast2,
icedove,
ices2,
iceweasel,
imagemagick,
imapfilter,
ipmitool,
ippl,
iptraf,
ircii,
irssi,
isakmpd,
iscsitarget,
isdnutils,
jack-mixer,
jalv,
jesred,
jpilot,
kannel,
kasumi,
kdrill,
kildclient,
kino,
ksh,
ladish,
lbreakout2,
lcgdm,
libav,
libdc1394-22,
libdebian-installer,
libdebug,
libevent,
libfprint,
libimager-perl,
libmaa,
libnih,
libnl,
libnl3,
libpam-abl,
libpam-mount,
libpam-ssh,
libpam-usb,
libpgm,
libqb,
libquicktime,
libsdp,
libsigrok,
libsigrokdecode,
libssh,
libzorpll,
lifelines,
lighttpd,
linsmith,
linux,
live-f1,
lives,
lldpad,
lldpd,
logrotate,
lostirc,
ltris,
lv2fil,
lvm2,
lwatch,
lxc,
lyskom-server,
m17n-lib,
madplay,
masqmail,
lsmbox,
lv2dynparam1,
lyx,
mbuffer,
mc,
mingw-w64,
minidlna,
moc,
monit,
mooproxy,
mountall,
mdk,
mednafen,
mpclib,
mpd,
mpdscribble,
mpfi,
mpfr4,
mplayer,
multipath-tools,
mumudvb,
munge,
mxallowd,
nagircbot,
navit,
nc6,
ncftp,
netsurf,
ngircd,
ngorca,
ninja,
nip2,
nodm,
notify-osd,
nrss,
nss-pam-ldapd,
ntp,
nufw,
nvi,
nyquist,
obexd,
ofono,
ohcount,
olsrd,
onak,
open-iscsi,
openbgpd,
opencryptoki,
opendnssec,
openldap,
openmpi,
openntpd,
openocd,
opensc,
opensp,
openssh,
openswan,
openvpn,
paco,
pavuk,
pbbuttonsd,
openvswitch,
pcb,
pd-cyclone,
pennmush,
pidgin,
petitboot,
pioneers,
plptools,
pmacct,
polipo,
prayer,
preload,
proftpd-dfsg,
psensor,
publib,
pulseaudio,
python-pywcs,
qsf,
quagga,
radare2,
radiusclient,
radiusclient-ng,
radvd,
ramond,
radiusd-livingston,
realtimebattle,
redhat-cluster,
redsocks,
reprepro,
rox,
rrdcollect,
rssh,
rsync,
rtmpdump,
ruby-bdb,
samba,
samba4,
sanlock,
sarg,
scim-canna,
scim-skk,
scim-tables,
scrollz,
setools,
sflphone,
shadow,
shaperd,
sharutils,
siege,
simgrid,
siproxd,
sitecopy,
skinedit,
slurm-llnl,
smbc,
sn,
snooper,
snort,
snmptrapfmt,
softflowd,
solid-pop3d,
soundmodem,
speechd-up,
spice,
spice-gtk,
squeak-vm,
sra-sdk,
starplot,
strongswan,
stunnel4,
subversion,
sup,
sushi,
swapspace,
sweep,
swftools,
synce-hal,
systemd,
tablix2,
taningia,
tcpspy,
testdisk,
tgt,
tintin++,
tinydyndns,
tinyproxy,
tmux,
tor,
trousers,
tsdecrypt,
tua,
tvtime,
twoftpd,
u-boot,
uanytun,
ucarp,
udpcast,
unbound,
unshield,
upstart,
usbmuxd,
uucp,
uucpsend,
v4l-utils,
vdr-plugin-fritzbox,
verbiste,
uhub,
vigor,
vlc,
vnc4,
voms,
vorbis-tools,
wcslib,
weechat,
weex,
wget,
wine-gecko-1.4,
wininfo,
x11-session-utils,
virtuoso-opensource,
wcstools,
xbmc,
xchat,
xen,
xfe,
xine-lib,
xine-lib-1.2,
xinetd,
xjobs,
xlog,
xmedcon,
xmms2,
xneur,
xorg-server,
xmoto,
xrdp,
yapet,
yardradius,
yaz,
ygraph,
ziproxy,
zyn,
zynjacku,
