biojava3-live,
clirr-maven-plugin,
maven,
maven-assembly-plugin,
maven-embedder,
maven-invoker,
maven-javadoc-plugin,
maven-shade-plugin,
maven-site-plugin,
maven-war-plugin,
maven-jar-plugin,
netbeans,
plexus-component-metadata,
plexus-containers1.5,
plexus-containers,
robust-http-client,
surefire,
