abook,
alevt,
afterstep,
alpine,
antiword,
anubis,
apache2,
apr,
arj,
ascd,
asmon,
aterm,
avfs,
ayttm,
balsa,
barnowl,
bbrun,
bc,
bind9,
bindfs,
bitlbee,
blktrace,
boost1.49,
bopm,
bosh,
bsdgames,
btscanner,
bygfoot,
cableswig,
canna,
cavezofphear,
cccc,
cccd,
cdbackup,
cdrdao,
cfengine2,
chiark-tcl,
chimera2,
chromium-browser,
cjet,
clamav,
cmus,
coldfire,
crashmail,
cron,
crossfire-client,
csh,
cvs,
cyclades-serial-client,
dacs,
dctrl-tools,
cdrkit,
debsig-verify,
dhcpcd-ui,
dhis-server,
diction,
dillo,
dirmngr,
dmraid,
dvdisaster,
dvipng,
easytag,
ebnetd,
ebview,
ecl,
ekg2,
elk,
elmerfem,
elvis-tiny,
eterm,
evilwm,
evolution,
eggdrop,
elvis,
evolution-rss,
exifprobe,
f2c,
faad2,
fatsort,
fbpanel,
fdutils,
ffcall,
filezilla,
fizmo,
flex,
flex-old,
forked-daapd,
freebsd-buildutils,
freedroid,
freemat,
freeradius,
freedroidrpg,
funnelweb,
fvwm,
fvwm1,
gammu,
gargoyle-free,
gauche,
gcl,
gcx,
gdb,
geeqie,
geki3,
gfarm,
gftp,
gimp-dds,
geki2,
gjs,
globus-rls-server,
glusterfs,
gmfsk,
gmp,
gmpc,
gnats,
gnokii,
gnome-media,
gnu-efi,
gnuit,
gnupg,
gnupg2,
gnuplot,
gnutls26,
gpe-conf,
gpe-tetris,
gpsim,
gpx2shp,
graphviz,
grass,
gravitywars,
gridengine,
grub,
grub2,
gss,
gtetrinet,
gtk-gnutella,
gtk-sharp2,
gtkpod,
gnumach,
gprolog,
grafx2,
gtkwave,
gts,
gup,
gv,
gworldclock,
gxneur,
h323plus,
ha,
halibut,
hamlib,
haskell-crypto-api,
heimdal,
helium,
heroes,
hexedit,
hfsprogs,
hol88,
homebank,
httperf,
hugin,
hwinfo,
hwloc,
iceweasel,
icon,
imagination,
imapfilter,
inetutils,
infon,
inn,
inn2,
innfeed,
ipsec-tools,
ipxe,
irssi,
itsol,
janest-core,
jed,
jocaml,
john,
jove,
jpeginfo,
jwm,
kbuild,
kfreebsd-8,
kfreebsd-9,
kinput2,
knews,
krb5,
krb5-appl,
ksh,
kterm,
lbreakout2,
lcgdm,
ldapvi,
ldm,
lesstif2,
levee,
libchipcard,
libepsilon,
libetpan,
libexosip2,
libgc,
libgcrypt11,
libgii,
libgtkada,
libhx,
libice,
libinstpatch,
libiodbc2,
libm4ri,
libpam-mount,
libproxy,
librapi2,
librep,
libssh,
libssh2,
libsx,
libtifiles,
libuser,
libvisual-plugins,
libxpm,
libzn-poly,
libzorpll,
lifelines,
lightspeed,
linphone,
linsmith,
linux,
linux-atm,
linux-ntfs,
linux-tools,
linuxtv-dvb-apps,
liquidwar,
lsh-utils,
lsof,
luatex,
lxlauncher,
lxpanel,
magic,
mailagent,
make-dfsg,
makefs,
matchbox-window-manager,
mboxgrep,
mcdp,
mgcv,
mgdiff,
mgp,
mingw-w64,
minidlna,
mirrormagic,
mknbi,
mksh,
mlpy,
mono,
mooproxy,
mozart,
meshlab,
mrxvt,
msort,
mtools,
multitail,
mysql-5.5,
navit,
nc6,
ncurses-hexedit,
nec2c,
necpp,
nedit,
neko,
netatalk,
netdiscover,
netkit-telnet-ssl,
netpbm-free,
netsurf,
nettle,
nettoe,
newlib,
mpich2,
nfs-utils,
nsis,
ntfs-3g,
nwchem,
nyquist,
ocaml,
olsrd,
opal,
openafs,
openbios-ppc,
openbios-sparc,
openmpi,
