afterstep,
at-spi2-atk,
autodir,
autofs,
avifile,
bglibs,
bisho,
blcr,
blender,
bml,
c-icap,
chimera2,
dact,
dbus-python,
desktopnova,
dotconf,
elinks,
enna,
erlang,
fcitx,
fuse-emulator,
fvwm1,
gauche,
gdis,
gegl,
ganv,
globus-gssapi-gsi,
goo,
gpac,
graphicsmagick,
gutenprint,
gyp,
heartbeat,
helium,
hugs98,
iceweasel,
imagemagick,
hfsutils,
httest,
kfreebsd-8,
kfreebsd-9,
krb5,
libapreq2,
libdesktop-agnostic,
libfm,
libgcrypt11,
libreoffice,
libsepol,
libsocialweb,
libverto,
linux,
lttv,
lush,
mdbtools,
mono,
morla,
mp4h,
mpg123,
mplayer,
mplayer2,
neko,
netatalk,
open-vm-tools,
openchange,
openldap,
openswan,
procmeter3,
pulseaudio,
py-postgresql,
pyspatialite,
python-edbus,
python-pysqlite2,
python2.6,
python2.7,
python3.2,
qemu,
qemu-kvm,
qgis,
racket,
raidutils,
rtai,
samba,
seed,
setools,
sigscheme,
speech-dispatcher,
synce-trayicon,
tcng,
timps,
tkgate,
traceroute,
uim,
unbound,
vlc,
vlock,
wine,
wise,
xenomai,
xfce4-session,
xine-lib,
xine-lib-1.2,
xpyb,
zsh,
zsh-beta,
