bacula,
bsnes,
btanks,
celestia,
ctorrent,
cupt,
esys-particle,
fife,
innoextract,
k3d,
kde4libs,
kturtle,
licq,
log4cxx,
megaglest,
mednafen,
mrd6,
openttd,
psi,
psi-plus,
qca2,
qpid-cpp,
qtscrob,
qutecsound,
scummvm,
tagua,
teeworlds,
vavoom,
wxwidgets2.8,
zhcon,
