biojava3-live,
clirr-maven-plugin,
exec-maven-plugin,
gpsprune,
jetty8,
maven,
maven-assembly-plugin,
maven-embedder,
maven-invoker,
maven-javadoc-plugin,
maven-shade-plugin,
maven-site-plugin,
maven-war-plugin,
maven-jar-plugin,
netbeans,
plexus-containers1.5,
plexus-containers,
sikuli,
simplyhtml,
surefire,
