a2ps,
acct,
aewm,
afterstep,
aiccu,
alarm-clock,
ap-utils,
apache2,
apr,
asterisk,
aumix,
autocutsel,
avinfo,
ayttm,
baycomusb,
bglibs,
binutils,
binutils-h8300-hms,
bluez,
btrfs-tools,
busybox,
cadaver,
centerim,
chromium-browser,
collectd,
comedilib,
chordii,
conky,
connman,
crossfire-client,
cuba,
cups-filters,
cvstrac,
cwebx,
cyrus-sasl2,
d52,
darkplaces,
cups,
gnu-fdisk,
dhcpcd,
dhcpcd5,
dos2unix,
dosfstools,
dxsamples,
easytag,
ecl,
elinks,
elmerfem,
enca,
evince,
dwarfutils,
extsmail,
faad2,
falconpl,
fcitx-configtool,
fish,
freetds,
fsarchiver,
fweb,
gammu,
gatling,
gbatnav,
gcl,
gegl,
ggcov,
gigolo,
global,
glusterfs,
gmp,
gnupg-pkcs11-scd,
gnutls26,
graphviz,
grass,
grub,
grub2,
gsql,
gst-buzztard,
gst-fluendo-mp3,
gst-plugins-bad0.10,
gtick,
gtk2-engines-qtcurve,
gyp,
h323plus,
haserl,
haskell-download-curl,
hatari,
hebcal,
heimdal,
hol88,
hplip,
httptunnel,
icedove,
iceweasel,
ident2,
inotify-tools,
invaders,
iodine,
ioquake3,
john,
jss,
invada-studio-plugins-lv2,
kde-style-qtcurve,
kfreebsd-8,
kfreebsd-9,
lame,
libaudio-scan-perl,
libcanberra,
libdivecomputer,
libedit,
libepsilon,
libexttextcat,
libgadu,
libgcgi,
libgda5,
libgdata,
libgii,
libgetdata,
libkate,
liblscp,
libomxil-bellagio,
libpam-abl,
libpipeline,
libprelude,
libquicktime,
libquvi,
librabbitmq,
librasterlite,
librtas,
libskk,
libsndfile,
libtritonus-java,
libuser,
libxslt,
liferea,
lilo,
linux,
linux-atm,
lldpd,
lpe,
lpr,
ltspfs,
lua-dbi,
lua-rexlib,
luakit,
luatex,
mailman,
mailutils,
mc,
meanwhile,
mesa,
mesa-demos,
minicom,
moc,
modsecurity-crs,
mp3gain,
mpg123,
mplayer,
mplayer2,
msn-pecan,
mtd-utils,
mupen64plus-core,
mysql-5.5,
nacl,
nast,
netbeans,
netpipes,
netsurf,
network-manager,
neverball,
mpich2,
netrw,
nodm,
nss-pam-ldapd,
nufw,
nut,
nvramtool,
nyquist,
obexpushd,
ocaml-extunix,
ocamlsdl,
ofono,
ogmtools,
olpc-kbdshim,
opal,
open-cobol,
openafs,
openipmi,
openldap,
openocd,
openscap,
pacemaker,
paraview,
parted,
pciutils,
pdfcrack,
pidgin,
pmk,
postgresql-8.4,
postgresql-9.1,
powerpc-ibm-utils,
ppp,
prerex,
procmail,
python-igraph,
python-ldap,
python-numpy,
pywavelets,
qt4-x11,
qtwebkit,
quakespasm,
quota,
r-base,
rdist,
rdup,
reaver,
reglookup,
ruby-bdb,
ruby-gsl,
rp-pppoe,
ruby-libvirt,
samba,
samba4,
sbrsh,
schroedinger,
scmxx,
scotch,
sdl-mixer1.2,
sdl-sound1.2,
sdlbasic,
sgrep,
simplelist,
sitecopy,
skytools,
slurm-llnl,
smartlist,
smbnetfs,
sndfile-tools,
smsclient,
speech-dispatcher,
ssldump,
sslh,
sssd,
swftools,
sysstat,
systemtap,
teg,
testdisk,
sylph-searcher,
timidity,
tint2,
tnat64,
tnftp,
torsocks,
tsocks,
ttt,
ttysnoop,
tuxonice-userui,
u-boot,
vdr-plugin-streamdev,
vlc,
vnc4,
vnstat,
vzquota,
wide-dhcpv6,
wmail,
wmaloader,
wpa,
x264,
xbmc,
xen,
xfce4-dict,
xine-lib,
xine-lib-1.2,
xmms2,
xmp,
xnbd,
texlive-bin,
xresprobe,
xsoldier,
xtell,
xtux,
xz-utils,
yorick-mpeg,
zephyr,
