ace,
afnix,
alsaplayer,
amphetamine,
antlr,
assimp,
basic256,
boo,
boost1.49,
box2d,
calligra,
clucene-core,
cppunit,
eclipse-cdt-pkg-config,
esys-particle,
gopchop,
hugin,
icedove,
iceweasel,
idesk,
kde-workspace,
libmng,
libphysfs,
libsfml,
llvm-2.9,
llvm-3.0,
llvm-3.1,
lzma,
merkaartor,
mupen64plus-video-glide64,
ovito,
p7zip,
pentobi,
qt4-x11,
rocs,
ruby-passenger,
sofa-framework,
spring,
structure-synth,
synergy,
traverso,
unicon,
unittest++,
xbmc,
yudit,
zeroc-ice,
zeroc-icee-translators,
