4store,
9base,
alsaplayer,
amanda,
anacron,
ant-phone,
apache2,
apt-dater,
aria2,
asterisk,
augeas,
bacula,
blktap,
brltty,
burp,
cadaver,
chromium-browser,
cone,
coreutils,
courier,
couriergrey,
ctdb,
cvs,
db,
db4.7,
db4.8,
distcc,
drawterm,
directfb,
dx,
eb,
ebview,
elk,
enscript,
fetchmail,
filter,
freedink-data,
freepops,
fsplib,
gcal,
geda-gaf,
gentoo,
gettext,
gftp,
glhack,
gliv,
globus-rls-server,
gnu-efi,
gnu-smalltalk,
gnulib,
gnupg,
gnutls26,
goo,
grass,
grep,
gridengine,
gromacs,
grun,
gsasl,
gtick,
gtklp,
gnumach,
gup,
gzip,
hashcash,
heimdal,
htdig,
hunspell,
icedove,
iceweasel,
inetutils,
inn,
isdnutils,
jed,
lam,
ldb,
libgii,
libguestfs,
libidn,
libnih,
libpipeline,
libprelude,
libpreludedb,
libunistring,
libvirt,
linux,
lives,
m17n-lib,
m4,
mailagent,
mailavenger,
man-db,
lyx,
mc,
mountall,
mednafen,
multipath-tools,
neon27,
netcf,
nethack,
mpich2,
nwchem,
nspr,
openafs,
openblas,
openhpi,
openldap,
openmpi,
pennmush,
plptools,
postgresql-8.4,
postgresql-9.1,
ppp,
prelude-manager,
pspp,
python-llfuse,
r-base,
radare2,
radiusclient,
radiusclient-ng,
rcs,
redhat-cluster,
ruby-bdb,
samba,
samba4,
scmxx,
sendfile,
sflphone,
shapetools,
sharutils,
sitecopy,
slashem,
smsclient,
splitvt,
starplot,
subversion,
swi-prolog,
tablix2,
tdb,
tin,
tla,
tomcat-native,
ttfautohint,
upstart,
util-linux,
uucp,
uwsgi,
virtualbox,
vnc4,
vorbis-tools,
vtun,
weechat,
wget,
wildmidi,
wine,
wine-gecko-1.4,
x11-session-utils,
virtuoso-opensource,
vzctl,
xcache,
xchat,
xen,
xfe,
xfsdump,
xmoto,
xrdp,
xscreensaver,
xwrits,
yapet,
ygraph,
zbar,
