avogadro,
calf,
choqok,
digikam,
eq10q,
esperanza,
gecko-mediaplayer,
gnash,
k3d,
kadu,
kate,
kde4libs,
kdenetwork,
kdepim,
kdepimlibs,
kdesdk,
kdewebdev,
krename,
ktorrent,
libkipi,
licq,
lightspark,
lmms,
mapnik,
milkytracker,
minbif,
muse,
npapi-vlc,
openbabel,
openimageio,
packagesearch,
pyside,
qgis,
qt-gstreamer,
qt4-x11,
qtcreator,
qtmobility,
qtwebkit,
soprano,
stardict,
uim,
vdr-plugin-games,
vite,
wxwidgets2.8,
xbmc,
