am-utils,
amanda,
atomix,
binutils,
binutils-h8300-hms,
c-cpp-reference,
cc1111,
chromium-browser,
connman,
crossfire,
db,
dietlibc,
directfb,
eglibc,
epic4,
epic5,
funnelweb,
gcc-h8300-hms,
gccxml,
gcl,
gdal,
gdb,
gkrellm,
gnome-panel,
gnugo,
gpac,
gpe-clock,
gstreamer-sharp,
gtk-gnutella,
haskell-clock,
hercules,
jwm,
kfreebsd-8,
kfreebsd-9,
ladr,
lcrt,
libcdk5,
libforms,
libgcrypt11,
libticalcs,
linux,
macopix,
milter-greylist,
miredo,
mummer,
newlib,
nip2,
otter,
powerpc-utils,
qemu,
qemu-kvm,
sdcc,
seabios,
spass,
systemtap,
tint2,
tkgate,
tmux,
tilp2,
u-boot,
uclibc,
vlc,
wine,
x-loader,
xenomai,
xfce4-panel,
xview,
xwrits,
ytree,
z88dk,
zfs-fuse,
