adns,
allegro4.4,
alpine,
alsa-lib,
bsdgames,
buzztard,
cgoban,
citadel,
claws-mail,
codeblocks,
cryptmount,
cvstrac,
cryptsetup,
dialog,
discount,
dopewars,
dvbstreamer,
evince,
faumachine,
fossil,
freebsd-quota,
freegish,
gambc,
gdpc,
git,
gnome-games,
gnujump,
goban,
grass,
gnumach,
grafx2,
hfsprogs,
ibus-m17n,
ibus-skk,
libtext-markdown-discount-perl,
linux,
linux-tools,
lyskom-server,
mc,
mon,
octave-octgpr,
openafs,
pdp,
pente,
pioneers,
psqlodbc,
radare2,
ruby-bluecloth,
shishi,
slepc,
spooles,
swi-prolog,
sylpheed,
syslinux,
teem,
tgif,
tuxmath,
tuxtype,
ufsutils,
vdr,
vdr-plugin-fritzbox,
vdr-plugin-remoteosd,
vdr-plugin-skinenigmang,
vdr-plugin-streamdev,
vdr-plugin-svdrpservice,
vdr-plugin-weather,
vdr-plugin-epgsync,
vdr-plugin-vcd,
vttest,
wayv,
webcit,
xchat,
xen,
xine-ui,
