ant,
axis,
babel,
bsh,
castor,
classworlds,
eclipse,
eclipse-emf,
libhibernate3-java,
libjboss-aop-java,
libjboss-classloader-java,
libnb-javaparser-java,
mauve,
mockobjects,
netbeans,
openjpa,
plexus-classworlds,
plexus-containers1.5,
plexus-containers,
python-jpype,
sisu-ioc,
swt-gtk,
testng,
