adplug,
antigrav,
asc,
atanks,
attal,
balder2d,
bino,
blobandconquer,
bloboats,
blobwars,
boost1.49,
boswars,
clementine,
clanlib,
crimson,
extremetuxracer,
game-music-emu,
kde-workspace,
kde4libs,
kdegames,
kmidimon,
late,
libdrumstick,
libsidplay,
libsidplayfp,
lordsawar,
maelstrom,
minetest,
monopd,
monster-masher,
mednafen,
openpref,
openvrml,
phonon,
pipenightdreams,
plee-the-bear,
qt-gstreamer,
qtmobility,
scummvm,
sidplay,
sidplay-libs,
sidplayfp,
starfighter,
subtitlecomposer,
supertux,
teeworlds,
tempest-for-eliza,
tinymux,
tomatoes,
trophy,
tuxfootball,
vlc,
warmux,
wesnoth-1.10,
xbmc,
zaz,
