asc,
bloboats,
boswars,
clanlib,
crimson,
cuyo,
einstein,
focuswriter,
gtkpool,
ho22bus,
irrlicht,
kball,
kde-workspace,
kdegames,
kdepimlibs,
kobodeluxe,
konversation,
lordsawar,
mana,
mazeofgalious,
megaglest,
monster-masher,
mednafen,
okular,
openssn,
openttd,
openvrml,
pathogen,
pinball,
pingus,
pipewalker,
plee-the-bear,
primrose,
qt4-x11,
scummvm,
sdl-ball,
stymulator,
supertux,
teeworlds,
triplane,
wesnoth-1.10,
wing,
wxwidgets2.8,
xevil,
