activemq,
bnd,
eclipse,
eclipse-cdt,
eclipse-cdt-pkg-config,
eclipse-egit,
eclipse-emf,
eclipse-rse,
eclipselink,
eclipse-linuxtools,
felix-bundlerepository,
felix-gogo-command,
felix-gogo-runtime,
felix-gogo-shell,
felix-shell,
felix-shell-tui,
freeplane,
geronimo-javamail-1.4-spec,
geronimo-osgi-support,
ikvm,
jackrabbit,
knopflerfish-osgi,
libslf4j-java,
logback,
netbeans,
openjdk-6,
openjdk-7,
spring,
swtchart,
uima-as,
