acegi-security,
basex,
cronometer,
eclipse,
eclipse-mylyn,
electric,
glassfish,
hsqldb,
jackrabbit,
jbossas4,
josm,
knopflerfish-osgi,
libhibernate-validator-java,
libhibernate3-java,
libjboss-microcontainer-java,
liblastfm-java,
libspring-security-2.0-java,
libspring-webflow-2.0-java,
libstruts1.2-java,
libvamsas-client-java,
mvel,
netbeans,
openafs,
openjpa,
opennebula,
osgi-compendium,
pilot-link,
tomcat-native,
tomcat6,
tomcat7,
