ams,
boost1.49,
btanks,
chromium-browser,
cmake,
crtmpserver,
falconpl,
faust,
k3d,
kde-workspace,
kdegames,
kicad,
kremotecontrol,
libtorrent-rasterbar,
mongodb,
ncbi-blast+,
networkmanagement,
pcsc-cyberjack,
rdkit,
scummvm,
synfig,
synfigstudio,
torcs,
virtualbox,
wxwidgets2.8,
xplc,
