aqsis,
afterstep,
almanah,
asunder,
audacious,
audacious-plugins,
babeld,
baycomepp,
baycomusb,
bitmeter,
blender,
bristol,
busybox,
bygfoot,
cbrpager,
cdcd,
cdparanoia,
cgdb,
cloog,
collectd,
copyfs,
coriander,
cssed,
cwiid,
darksnow,
deb-gview,
cdrkit,
dhcpcd,
dia,
dibbler,
directfb,
fetchmail,
foxtrotgps,
fpm2,
freecraft,
g2ipmsg,
gamazons,
ganglia,
gargoyle-free,
gconjugue,
gcx,
gerbv,
gfpoken,
gimp,
gimp-plugin-registry,
gimp-texturize,
gcolor2,
gjacktransport,
gjs,
gkdebconf,
gluas,
gmanedit,
gmediaserver,
gmfsk,
gmtp,
gnomekiss,
gnugo,
gopchop,
gpe-announce,
gpe-conf,
gpe-shield,
gpe-tetris,
gpr,
graphviz,
grass,
grcm,
gsetroot,
gsoko,
gstm,
gtans,
gtkatlantic,
gtkperf,
gnusim8085,
hdate-applet,
hitori,
hping3,
hspell-gui,
ifplugd,
igraph,
imms,
inn2,
iok,
ipxe,
iw,
jackeq,
jamin,
keytouch-editor,
koules,
ladish,
lame,
lcdproc,
libcdio,
libieee1284,
libnih,
libnss-pgsql,
libsvm,
linsmith,
linux,
lives,
lttv,
lxtask,
masqmail,
mc,
moc,
mp3gain,
mplayer,
mumps,
ncbi-tools6,
ncview,
net-snmp,
net-tools,
netdiag,
netrek-client-cow,
nrss,
olsrd,
openchange,
openocd,
openscap,
orage,
packeth,
parchive,
parted,
pcsxr,
pegsolitaire,
perl,
php5,
phyml,
pioneers,
predict,
purple-plugin-pack,
quagga,
radare2,
radvd,
regina-normal,
ruby-libvirt,
samba,
samba4,
sanduhr,
scanssh,
scli,
sdl-sound1.2,
sdpnetstat,
searchmonkey,
shell-fm,
sipcalc,
snappea,
soundmodem,
spring,
svgalib,
sweep,
swi-prolog,
syslinux,
tcpreplay,
teg,
tetradraw,
thewidgetfactory,
tiemu,
timemachine,
trousers,
transfermii,
usbview,
v-sim,
vdr,
vlc,
vnc4,
vo-aacenc,
wine,
xarchiver,
xbmc,
xdaliclock,
xdemorse,
xen,
xfce4-sensors-plugin,
xfmpc,
xmorph,
xnec2c,
xnee,
xoscope,
xwax,
zapping,
