castor,
glassfish,
jakarta-taglibs-standard,
jenkins-commons-jelly,
jbossas4,
libhibernate-validator-java,
libhibernate3-java,
libjboss-remoting-java,
libjibx1.1-java,
libjibx1.2-java,
libspring-java,
mule,
netbeans,
openjpa,
