activemq,
asm,
asm2,
asm3,
basex,
bsh,
castor,
cortado,
db,
db4.7,
db4.8,
eclipse,
eclipse-emf,
eclipse-mylyn,
eclipselink,
ehcache,
emma-coverage,
freetts,
galax,
glassfish,
ikvm,
jajuk,
java-gnome,
jellydoc,
jenkins-commons-jelly,
jbossas4,
libcommons-digester-java,
libdb-je-java,
libhibernate-validator-java,
libhibernate3-java,
libjboss-xml-binding-java,
libjboss-metadata-java,
libjibx1.1-java,
libjibx1.2-java,
libjswingreader-java,
netbeans,
omegat,
openjpa,
osgi-compendium,
remuco,
rome,
saxonb,
sisu-ioc,
speech-tools,
stapler,
swt-gtk,
