alsaplayer,
ant-phone,
apache2,
apcalc,
apparix,
apr,
aria2,
atop,
atsar,
autogen,
avifile,
awesome,
bibtool,
bind9,
binutils,
binutils-h8300-hms,
bogofilter,
bsd-mailx,
bsdgames,
busybox,
cc1111,
ccache,
cde,
cdo,
cadaver,
cfingerd,
chromium-browser,
clamav,
cloog,
cloog-ppl,
cmake,
cmucl,
cone,
cook,
courier,
couriergrey,
criticalmass,
ctwm,
curl,
cvs,
cxref,
cyrus-imapd-2.4,
dacs,
dancer-ircd,
db,
db4.7,
db4.8,
dbview,
dctrl-tools,
deutex,
dialog,
dict-gcide,
dieharder,
dpkg,
dvi2dvi,
dvi2ps,
dx,
e2fsprogs,
ebview,
ecl,
eglibc,
elinks,
enscript,
exim4,
f2c,
fftw3,
fhist,
filezilla,
freeciv,
freeradius,
fstrcmp,
gawk,
gcc-h8300-hms,
gccxml,
gcl,
gdbm,
geda-gaf,
gentoo,
getfem++,
gettext,
gftp,
gif2png,
gimp,
glfw,
glhack,
gliv,
global,
glosstex,
gmp,
gnu-smalltalk,
gnubik,
gnupg,
gnuplot,
gnutls26,
gogoc,
gpgme1.0,
gphoto2,
graphicsmagick,
gridengine,
gromacs,
grun,
gsasl,
gsl,
gss,
gtick,
gtk-gnutella,
gtklp,
gnumach,
grafx2,
guile-1.6,
guile-1.8,
guile-2.0,
gv,
gwc,
halibut,
heimdal,
heirloom-mailx,
hercules,
hodie,
hping3,
hugs98,
hunspell,
icedove,
iceweasel,
icmake,
icmpush,
idzebra,
imagemagick,
hfsutils,
ircd-hybrid,
irssi-plugin-xmpp,
iverilog,
jed,
jless,
kbuild,
lame,
lammps,
less,
levee,
libapreq2,
libcdk5,
libcompface,
libdivecomputer,
libelf,
libexplain,
libforms,
libgcrypt11,
libgeier,
libgsf,
libgtop2,
libid3tag,
libident,
libidn,
libidn2-0,
libksba,
libmad,
libmodbus,
libnih,
libnss-mysql-bg,
libquantum,
libquvi,
libpam-tacplus,
libraw1394,
libreoffice,
libsigrok,
libsigrokdecode,
libsigsegv,
libssh2,
librsync,
libtasn1-3,
libtecla,
libsx,
libunistring,
liggghts,
linux,
linux-ntfs,
linux86,
linuxdoc-tools,
lives,
log4c,
lookup,
luatex,
lv,
m17n-lib,
madplay,
mafft,
mailavenger,
mailutils,
make-dfsg,
masqmail,
lyx,
mawk,
mcl,
mcrl2,
mesa,
meschach,
mg,
minidjvu,
modules,
mountall,
mozart,
mednafen,
mpfr4,
mscompress,
msgpack,
muddleftpd,
munge,
mysql-5.5,
ncftp,
ncurses,
nethack,
netpipes,
netsurf,
mpich2,
ng,
normalize-audio,
nsis,
ntp,
ocfs2-tools,
nmh,
nspr,
openconnect,
openssl,
openswan,
patch,
pdns,
pearpc,
pennmush,
perl,
picosat,
pidentd,
pidgin,
pd-hcs,
plptools,
pmw,
pnscan,
polarssl,
popa3d,
postgresql-8.4,
postgresql-9.1,
pptp-linux,
prboom,
procps,
proftpd-dfsg,
ptop,
putty,
pv,
python-ldap,
python-llfuse,
qsf,
r-base,
radiusd-livingston,
recite,
remake,
roaraudio,
ruby-bluecloth,
ruby1.8,
ruby1.9.1,
rush,
rxp,
samba,
samba4,
sary,
sc,
schism,
scilab,
sdcc,
sgt-puzzles,
shapetools,
sharutils,
shishi,
siege,
sitecopy,
slashem,
silo-llnl,
slrn,
spatialite,
starplot,
subversion,
spd,
syslinux,
tablix2,
tcltrf,
tcm,
tcpreplay,
tcptrace,
tcs,
tgif,
time,
timidity,
tin,
twm,
uclibc,
ulatencyd,
upstart,
util-linux,
uudeview,
valgrind,
varnish,
vile,
vim,
virtualbox,
vlc,
vnc4,
vorbis-tools,
vtwm,
watchdog,
weechat,
wine,
wine-gecko-1.4,
wv,
xblast-tnt,
xbmc,
xcal,
xchat,
xen,
xfe,
xfingerd,
xine-lib,
xine-lib-1.2,
xlhtml,
xmlrpc-c,
xorp,
xmoto,
texlive-bin,
xtel,
xtrkcad,
yapet,
yardradius,
yaz,
ygraph,
z80ex,
zephyr,
zoem,
zoo,
yagiuda,
yics,
zsnes,
