ace,
asio,
atanks,
bespin,
boost1.49,
btanks,
burgerspace,
clanlib,
cxxtools,
gloox,
ibutils,
italc,
kadu,
kde-workspace,
kde4libs,
kdegames,
kdemultimedia,
kdenetwork,
kdepimlibs,
kdesvn,
kdevplatform,
libloki,
licq,
mana,
lyx,
minetest,
mmpong,
mongodb,
mysql-5.5,
net6,
postal,
psi,
psi-plus,
qpid-cpp,
qt4-x11,
quassel,
qxmlrpc,
rapidsvn,
strigi,
teeworlds,
telepathy-qt,
syncevolution,
vnc4,
voxbo,
warmux,
webissues,
wesnoth-1.10,
wxwidgets2.8,
x11-session-utils,
xmlrpc-c,
xmms2,
