3depict,
aspell,
avifile,
basket,
blender,
boost1.49,
botan1.10,
calligra,
choqok,
chromaprint,
cmt,
ctsim,
dff,
edfbrowser,
filezilla,
goattracker,
goplay,
indigo,
inkscape,
kde4libs,
kdenetwork,
kdepim,
kftpgrabber,
kstars,
ktorrent,
libitpp,
licq,
lmms,
log4cxx,
mednafen,
mixxx,
mupen64plus-video-glide64,
odin,
opencity,
opencv,
openimageio,
portabase,
qsstv,
qtcreator,
scid,
shiboken,
smpeg,
sooperlooper,
tellico,
unicon,
upx-ucl,
vdr-plugin-infosatepg,
vlc,
zyn,
