accessodf,
ant,
antelope,
asm,
aspectj,
axis,
azureus,
bcel,
biojava-live,
biojava3-live,
bnd,
bsh,
cglib,
cortado,
db,
dita-ot,
eclipse,
eclipselink,
felix-framework,
fop,
geotranz,
glassfish,
gnome-split,
iceweasel,
ikvm,
jackrabbit,
jakarta-jmeter,
jakarta-taglibs-standard,
javahelp2,
jclic,
jets3t,
jeuclid,
jgit,
jing-trang,
jruby,
jss,
jbossas4,
jts,
knopflerfish-osgi,
libapache-poi-java,
libaxiom-java,
libcommons-el-java,
libcommons-jxpath-java,
libfreemarker-java,
libjboss-web-services-java,
libjboss-xml-binding-java,
libjdo-api-java,
libnb-javaparser-java,
libquartz-java,
libpal-java,
libspring-java,
libstruts1.2-java,
libxalan2-java,
libxerces2-java,
libxml-security-java,
lucene-solr,
mathpiper,
mauve,
lucene2,
mina,
mina2,
mysql-connector-java,
netbeans,
osgi-compendium,
osgi-core,
pescetti,
pylucene,
red5,
scilab,
serp,
sikuli,
sumo,
swtchart,
testng,
texlive-extra,
tomcat6,
tomcat7,
triplea,
trove3,
uimaj,
umlet,
velocity-tools,
wesnoth-1.10,
wsdl2c,
wsdl4j,
why,
