attal,
attica,
bind9,
boost1.49,
calligra,
cbmc,
celestia,
codeblocks,
coin3,
coala,
crimson,
critterding,
cvc3,
cxxtools,
digikam,
fact++,
firebird2.5,
gfan,
ginac,
glob2,
gloox,
grantlee,
gringo,
k3d,
kadu,
kalzium,
kde4libs,
kdegames,
kdenetwork,
kdepim,
kdepimlibs,
kdesdk,
kdevelop,
kdevplatform,
kdewebdev,
kmplot,
kturtle,
libcitygml,
libitpp,
libwibble,
libzeep,
mcrl2,
minisapserver,
mona,
mixxx,
mrd6,
musescore,
ncbi-blast+,
newsbeuter,
nmapsi4,
obby,
pingus,
poedit,
psi,
psi-plus,
pythonqt,
qjson,
qonk,
qt4-x11,
qtcreator,
qtoctave,
qtscriptgenerator,
raidutils,
qgo,
rivet,
scummvm,
shiboken,
smokegen,
socnetv,
soprano,
tntnet,
vym,
wesnoth-1.10,
whitedune,
wv2,
yaml-cpp,
yate,
