activemq,
ant-contrib,
basex,
bnd,
cadencii,
eclipse,
eclipse-cdt,
eclipse-emf,
eclipse-gef,
eclipse-mylyn,
eclipselink,
ehcache,
electric,
emma-coverage,
eclipse-linuxtools,
felix-shell,
fop,
freevo,
geogebra,
glassfish,
groovy,
ha-jdbc,
icu4j,
jakarta-jmeter,
jam-lib,
java-gnome,
jenkins-remoting,
jgit,
jtharness,
jbossas4,
josm,
knopflerfish-osgi,
libjamon-java,
libjgroups-java,
libjgroups2.6-java,
libproxool-java,
libxbean-java,
lucene-solr,
maven-scm,
mina2,
moin,
mvel,
netbeans,
netbeans-cvsclient,
nut,
openjdk-6,
openjdk-7,
robocode,
sumo,
svnclientadapter,
thepeg,
umlet,
