0ad,
ace,
afflib,
afterstep,
agg,
anon-proxy,
azureus,
bind9,
bzflag,
cccc,
condor,
cppunit,
criticalmass,
cunit,
darktable,
eclipse-cdt,
espeak,
flite,
geotranz,
gfm,
ginkgocadx,
icecast2,
icedove,
iceweasel,
id3lib3.8.3,
krb5,
libphysfs,
libreoffice,
lzma,
milkytracker,
mysql-5.5,
ncftp,
mpich2,
olsrd,
opal,
paraview,
rawstudio,
root-system,
rxtx,
sam2p,
tilp2,
vbindiff,
vim,
vtk,
vxl,
whitedune,
virtuoso-opensource,
xbmc,
xpilot-ng,
xerces-c2,
