apex,
blender,
chromium-browser,
collectd,
cpu,
drawterm,
etw,
fbpanel,
fio,
flac,
gdb,
gkrellm,
gngb,
gstreamer0.10-ffmpeg,
hercules,
hwinfo,
inteltool,
ipxe,
jackd2,
kde-workspace,
kfreebsd-8,
kfreebsd-9,
lcdproc,
libav,
libgtop2,
liboggplay,
libsysactivity,
libtheora,
libvirt,
libwebp,
linux,
ltris,
lxpanel,
mplayer,
net-snmp,
paraview,
psensor,
qemu,
qemu-kvm,
s390-tools,
syslinux,
u-boot,
virtualbox,
vlc,
vtk,
wine,
x-loader,
vzctl,
x264,
xen,
xfce4-cpugraph-plugin,
xfce4-sensors-plugin,
xfce4-systemload-plugin,
zapping,
