aegisub,
afflib,
akonadi,
aprsd,
berusky,
blocks-of-the-undead,
boost1.49,
calf,
calligra,
brutalchess,
chromium-browser,
coin3,
diet,
digikam,
disulfinder,
dolfin,
dssp,
einstein,
ekiga,
exempi,
exiv2,
falconpl,
ffms2,
firebird2.5,
ginac,
fwbuilder,
gnote,
hugin,
ibus-unikey,
id3lib3.8.3,
inkscape,
inspircd,
iptux,
jovie,
kde-style-qtcurve,
kde-workspace,
kde4libs,
kdenetwork,
kdepim,
kdeplasma-addons,
kdesdk,
kdewebdev,
knemo,
kradio4,
kshutdown,
kvpnc,
libdbusmenu-qt,
libmath++,
libmusicbrainz3,
libvoikko,
lmms,
mcrl2,
mecab,
mongodb,
muse,
musescore,
nagircbot,
ncbi-blast+,
netmrg,
newsbeuter,
npapi-vlc,
nsis,
odin,
okular,
open-jtalk,
opencv,
plasma-widget-yawp,
qgis,
qt-gstreamer,
qt4-x11,
qtwebkit,
qviaggiatreno,
qxmpp,
rapidsvn,
rdkit,
rquantlib,
scim-unikey,
sdcv,
sooperlooper,
source-highlight,
spice,
stardict,
tango,
tea,
telepathy-logger-qt,
telepathy-qt,
tiled-qt,
tora,
voxbo,
wxwidgets2.8,
xevil,
yagf,
