3dchess,
4g8,
9base,
9wm,
a2ps,
accountsservice,
aces3,
acm,
acpi,
actionaz,
alevt,
aolserver4,
apex,
afterstep,
aiccu,
alarm-clock,
alex4,
alleyoop,
alliance,
alltray,
almanah,
alpine,
alsa-lib,
amavisd-milter,
amora-server,
anacron,
angband,
anjuta,
anthy,
anubis,
anyremote,
aoeui,
apache2,
apbs,
apt-spy,
apwal,
aranym,
arcload,
aria2,
array-info,
asciijump,
asunder,
aterm,
atomix,
audacious,
audtty,
automake1.10,
automake1.11,
autotrace,
avahi,
aview,
avrdude,
aweather,
aylet,
ayttm,
balsa,
bam,
bamf,
barcode,
barrage,
batctl,
baycomepp,
baycomusb,
bb,
bc,
beav,
beef,
bglibs,
bibtool,
biloba,
bind9,
bacula,
binutils,
binutils-h8300-hms,
biococoa,
bird,
bisho,
bison,
bitmeter,
bld,
bluez,
bognor-regis,
bogofilter,
bomberclone,
booth,
bootpc,
bopm,
bozohttpd,
brasero,
brltty,
bsd-mailx,
bsdgames,
btscanner,
bwa,
byacc,
byacc-j,
bygfoot,
cableswig,
cadencii,
cairo-dock-plug-ins,
calcoo,
calibre,
camorama,
canna,
cavezofphear,
cbrpager,
cc1111,
ccache,
cccc,
cconv,
ccrypt,
cdebootstrap,
cdparanoia,
cdrdao,
btyacc,
cdbs,
cdrom-checker,
cdw,
cellwriter,
certmonger,
cfingerd,
cflow,
cgoban,
check,
chemtool,
chimera2,
choosewm,
chromium-browser,
chrony,
chrpath,
cjet,
claws-mail,
clipit,
clips,
cluster-glue,
cmake,
cmigemo,
cmph,
cmucl,
cmus,
cntlm,
codeblocks,
cogl,
coinor-symphony,
coldfire,
colo,
comedilib,
clzip,
connman,
conntrack,
consolekit,
cook,
copyfs,
coriander,
corosync,
couchdb,
covered,
cowdancer,
cp2k,
cpio,
cpufreqd,
cpufrequtils,
crash,
criticalmass,
crossfire,
crossfire-client,
cscope,
csound,
cssed,
ctdb,
cue2toc,
cups-filters,
cups-pk-helper,
curtain,
cutter-testing-framework,
cvc3,
cvs,
cvstrac,
cwiid,
cyrus-imapd-2.4,
cyrus-imspd,
dangen,
darktable,
darnwdl,
dav-text,
db,
dbus,
dd2,
ddccontrol,
deb-gview,
cups,
dash,
gnu-fdisk,
insighttoolkit,
debram,
deja-dup,
denemo,
deng,
dfu-programmer,
dfu-util,
dhcpcd-dbus,
dhcpcd-ui,
dhex,
dhis-client,
dhis-server,
dia,
dia2code,
dicelab,
dico,
digikam,
dillo,
dircproxy,
directvnc,
dis51,
discount,
discover,
disktype,
djvulibre,
dmake,
dnprogs,
dns2tcp,
docbook-to-man,
dovecot,
dpkg,
drawterm,
distorm64,
dossizola,
dreamchess,
drivel,
dtach,
