alevt,
aolserver4,
analog,
autofs,
avahi,
avfs,
bam,
bind9,
binutils,
binutils-h8300-hms,
blender,
buddy,
busybox,
c-icap,
charybdis,
chimera2,
chromium-browser,
clamav,
cmus,
codeblocks,
colo,
conntrack,
cook,
copyfs,
curlftpfs,
cvsps,
cyrus-sasl2,
darktable,
davfs2,
dillo,
djmount,
dnsmasq,
drawterm,
dvbstreamer,
dx,
e2fsprogs,
eglibc,
elinks,
ffcall,
freerdp,
fsvs,
fusesmb,
gcl,
gdb,
geeqie,
gftp,
gforth,
glib2.0,
global,
gmime,
gnubg,
gnugo,
gnupg2,
gpac,
grass,
gurlchecker,
hdf5,
heimdal,
heirloom-mailx,
hercules,
hfsprogs,
hime,
icedove,
imagemagick,
inn2,
instead,
ircd-ratbox,
kfreebsd-8,
kfreebsd-9,
knews,
jwhois,
libcanberra,
libmemcached,
libnl,
libnl3,
libpam-krb5,
links2,
linux,
linuxtv-dvb-apps,
looptools,
malaga,
mcelog,
memcached,
mpfr4,
navit,
netatalk,
netcdf,
newlib,
nfs-utils,
nip2,
nrss,
nss-updatedb,
nstreams,
ntfs-3g,
nufw,
obexftp,
ocfs2-tools,
openldap,
parted,
pax,
pdnsd,
plucker,
prelink,
pspp,
pyspatialite,
python-pysqlite2,
python2.6,
python2.7,
python3.2,
qgis,
radare2,
rawstudio,
rdesktop,
rdkit,
rplay,
samba,
samba4,
sary,
shapetools,
skyeye,
sn,
sshfs-fuse,
subversion,
svrcore,
syrep,
syslinux,
tablix2,
tcpreplay,
timps,
tinydyndns,
transmission,
u-boot,
ufsutils,
util-linux,
uwsgi,
vflib3,
vips,
virtualbox,
vlc,
vnc4,
weex,
wine,
x264,
xcb-util-renderutil,
xfs,
xfsprogs,
xine-ui,
xmhtml,
xsystem35,
yafc,
yorick,
zapping,
zvbi,
