actionaz,
bespin,
bloboats,
boswars,
bsnes,
btanks,
clanlib,
connectagram,
crimson,
efax-gtk,
firebird2.5,
flush,
focuswriter,
fife,
gobby,
gobby-infinote,
guichan,
hexalate,
inkscape,
jd,
kobodeluxe,
libitpp,
libucimf,
licq,
mana,
megaglest,
meshlab,
mrtrix,
ncmpcpp,
nload,
opencv,
openttd,
peg-e,
prerex,
pyside,
qonk,
qt4-x11,
qtcreator,
qtmobility,
qtoctave,
rlvm,
scummvm,
shelxle,
tanglet,
tetzle,
tulip,
udt,
visualboyadvance,
wesnoth-1.10,
wxwidgets2.8,
xbmc,
xye,
zhcon,
