biojava-live,
bouncycastle,
checkstyle,
dumbster,
easyconf,
eclipse-cdt,
eclipse-egit,
eclipse-mylyn,
eclipse-rse,
elki,
eclipse-linuxtools,
freecol,
freemind,
freeplane,
freetts,
geronimo-javamail-1.4-spec,
glassfish,
guice,
hsqldb,
jabref,
jakarta-jmeter,
jargs,
jenkins-json,
jflex,
junit,
junit4,
junitperf,
libcommons-net1-java,
libcsv-java,
libgnumail-java,
libhtmlparser-java,
libjboss-aop-java,
libjdbm-java,
libjgrapht0.6-java,
libjgrapht0.8-java,
libjlayer-java,
libmetadata-extractor-java,
libpdfbox-java,
libproxool-java,
libxml-security-java,
libxpp2-java,
mockobjects,
netbeans,
libjdepend-java,
pokerth,
sat4j,
sisc,
sisu-guice,
triplea,
weka,
zeroc-ice,
zeroc-icee-java,
