3dchess,
4g8,
9base,
acm,
aolserver4,
apex,
allegro4.4,
alpine,
analog,
angband,
audacious,
autoclass,
batmand,
bglibs,
bibtool,
binutils,
binutils-h8300-hms,
bsdgames,
busybox,
cableswig,
cairo-5c,
cc1111,
cfengine2,
chasen,
chron,
clang,
cluster,
colo,
crossfire,
crossfire-client,
csh,
dbmix,
dmraid,
dx,
e2fsprogs,
ecl,
eglibc,
elk,
extace,
f2c,
fair,
fbb,
febootstrap,
fio,
folks,
foreign,
foxtrotgps,
freedink,
freedroid,
freewnn,
freedroidrpg,
gargoyle-free,
gauche,
gcc-h8300-hms,
gccxml,
gcl,
gcompris,
gdb,
gdpc,
getfem++,
ggobi,
glam2,
glfw,
glide,
globs,
globus-gss-assist,
gltron,
gmp,
gnu-efi,
gnuchess,
gnupg2,
gnushogi,
gnutls26,
golang,
gramophone2,
grass,
gravitywars,
gromacs,
grub2,
gsasl,
gsl,
gsoko,
gstreamer0.10,
grafx2,
guile-1.6,
guile-1.8,
guile-2.0,
gwc,
haskell-glfw,
heimdal,
iceweasel,
ipband,
ipxe,
isakmpd,
isdnutils,
ipfm,
kbuild,
kdrill,
kernsmooth,
koules,
krb5,
krb5-appl,
ksh,
lam,
lattice,
jwhois,
libburn,
libconvert-binary-c-perl,
libfprint,
libgeier,
libgii,
libgpewidget,
libgpg-error,
libgtop2,
libgwenhywfar,
libibverbs,
libiscsi,
libnfs,
libowfat,
libppd,
libselinux,
libssh,
libtext-bibtex-perl,
libtritonus-java,
libunwind,
libtk-img,
lie,
lifelines,
linux,
liquidwar,
log4c,
lm-sensors,
lme4,
logjam,
mailutils,
mawk,
memchan,
memtest86,
memtest86+,
meschach,
mgcv,
mgetty,
minc,
miredo,
mirrormagic,
mktorrent,
mlton,
modules,
morla,
mpfi,
mpfr4,
mrxvt,
mtools,
muddleftpd,
mutt,
mz,
ncurses-hexedit,
neko,
netcdf,
netexpect,
netw-ib-ox-ag,
newlib,
mpich2,
nlme,
nn,
notmuch,
omega-rpg,
openarena,
openbios-ppc,
openbios-sparc,
openblas,
openct,
openhpi,
openldap,
openmpi,
openmx,
openscap,
openvpn,
packit,
paraview,
pari,
pbbuttonsd,
pachi,
pciutils,
petsc,
php5,
ploticus,
pmw,
quadprog,
r-base,
r-cran-sp,
r-cran-spatial,
r-zoo,
rdd,
reaver,
remind,
rggobi,
rjava,
robustbase,
root-system,
rpart,
rtai,
ruby-gnome2,
rmatrix,
ruby-odbc,
ruby-tioga,
ruby1.8,
ruby1.9.1,
rxtx,
rxvt-beta,
samba,
samba4,
sary-ruby,
scheme48,
schism,
scsh-0.6,
sdcc,
shishi,
siege,
sitecopy,
sma,
splint,
spooles,
starpu,
syslinux,
sysvinit,
tack,
tcltrf,
tcpser,
tellico,
tessa,
thrust,
tightvnc,
tin,
tkdesk,
tofrodos,
u-boot,
ucblogo,
uclibc,
uhd,
unar,
uqwk,
util-linux,
uucp,
viewmol,
vips,
vnc4,
voms,
wget,
wine,
why,
xbattle,
xboing,
xbubble,
xenomai,
xfsprogs,
xgalaga,
xgraph,
xinetd,
xless,
xmille,
xmlrpc-c,
xserver-xorg-video-sis,
yabause,
yap,
ytree,
zsh,
zsh-beta,
zssh,
