abgate,
abtransfers,
acoustid-fingerprinter,
actionaz,
aeskulap,
alt-key,
ams,
ark,
audex,
avogadro,
bangarang,
basket,
bibledit-gtk,
bacula,
boats,
calligra,
cgal,
choqok,
clementine,
clustalx,
confclerk,
cppcheck,
cutesdr,
daemonfs,
dc-qt,
digikam,
dnssec-tools,
diffpdf,
edfbrowser,
efax-gtk,
elmerfem,
ffdiaporama,
fife,
fotowall,
freemedforms-project,
fritzing,
gecode,
gigedit,
gle-graphics,
glogg,
goldencheetah,
gpsbabel,
grantlee,
guymager,
gwenview,
hedgewars,
highlight,
hotot,
imageshack-uploader,
kaffeine,
kamerka,
kate,
kbibtex,
kchmviewer,
kde-runtime,
kde4libs,
kdegames,
kdenetwork,
kdenlive,
kdepim,
kdepimlibs,
kdesdk,
kdevplatform,
kdewebdev,
keepassx,
kftpgrabber,
kolabadmin,
konversation,
kross-interpreters,
kscope,
kshutdown,
kst,
ktikz,
ktp-send-file,
kturtle,
libqxt,
mapnik,
mediainfo,
merkaartor,
monav,
monkeystudio,
meshlab,
musique,
mustang-plug,
netemul,
nted,
nzb,
partitionmanager,
phonon,
pivy,
promoe,
psi,
psi-plus,
pyside,
q4wine,
qantenna,
qbankmanager,
qbittorrent,
qimageblitz,
qjackrcd,
qmidiarp,
qmmp,
qmpdclient,
qpdfview,
qpxtool,
qrfcview,
qscintilla2,
qsstv,
qstardict,
qt-assistant-compat,
qt-at-spi,
qt4-x11,
qtcreator,
qtemu,
qtmobility,
qtoctave,
qtwebkit,
qwt,
qwt5,
qgo,
qmidiroute,
qthid-fcd-controller,
robojournal,
rekonq,
socnetv,
speedcrunch,
springlobby,
starpu,
subtitlecomposer,
tagua,
tellico,
tiled-qt,
tulip,
valkyrie,
voxbo,
vym,
webissues,
yakuake,
yubikey-personalization-gui,
zanshin,
