0ad,
ace,
amule,
antlr,
blahtexml,
boo,
clang,
coco-cpp,
coala,
firebird2.5,
freemat,
fwbuilder,
gnudatalanguage,
gopchop,
grcompiler,
icedove,
iceweasel,
kde4libs,
kwave,
llvm-2.9,
llvm-3.0,
llvm-3.1,
lostirc,
lyx,
meshlab,
mysql-5.5,
newsbeuter,
projectm,
qt4-x11,
qtcreator,
qtmobility,
qtwebkit,
swfmill,
vite,
webkit,
xbmc,
zeroc-ice,
zeroc-icee-translators,
