antelope,
async-http-client,
axis,
azureus,
basex,
bnd,
bouncycastle,
cadencii,
eclipse,
eclipselink,
elki,
ganymed-ssh2,
geogebra,
geronimo-javamail-1.4-spec,
glassfish,
gridengine,
httpunit,
iceweasel,
ikvm,
jackrabbit,
jasmin-sable,
jasypt,
java-xmlbuilder,
jcifs,
jenkins-trilead-ssh2,
jgit,
jmol,
josm,
knopflerfish-osgi,
libaxiom-java,
libcommons-codec-java,
libcommons-net2-java,
libexml-java,
libitext-java,
libitext5-java,
libj2ssh-java,
libjboss-common-java,
libjcommon-java,
libisrt-java,
libpgjava,
libreoffice,
libws-commons-util-java,
libxerces2-java,
libxml-java,
libxml-security-java,
lucene-solr,
mina2,
mojarra,
mondrian,
mule,
netbeans,
netty,
netty3.1,
olap4j,
openrocket,
pcalendar,
pdftk,
pixelmed,
plexus-cipher,
plexus-utils,
plexus-utils2,
remotetea,
rome,
sword,
tiled-qt,
tomcat6,
tomcat7,
trilead-ssh2,
writer2latex,
wsdl2c,
wss4j,
xmlbeans,
yecht,
zeroc-ice,
