acetoneiso,
aqsis,
aegisub,
anytun,
balder2d,
blobandconquer,
blobwars,
boost1.49,
cbmc,
cclive,
brutalchess,
coinor-ipopt,
coala,
cppcheck,
crimson,
einstein,
espeakedit,
falconpl,
fastjet,
gecode,
gtkpool,
imspector,
k3d,
kde-workspace,
kicad,
kmldonkey,
kobodeluxe,
launchy,
libucimf,
libwibble,
mkvtoolnix,
muscle,
mysql++,
pcb2gcode,
pingus,
plink,
pms,
psi-plus,
qutecsound,
scummvm,
seq24,
sipwitch,
siscone,
smokegen,
soundkonverter,
tagua,
uncrustify,
vym,
xboxdrv,
xye,
zeromq,
