acegi-security,
castor,
eclipse-emf,
eclipse-mylyn,
ehcache,
guice,
javassist,
jenkins-xstream,
jbossas4,
libcommons-digester-java,
libhibernate-validator-java,
libhibernate3-java,
libjaxen-java,
libjboss-aop-java,
libjboss-cache2-java,
libjboss-cache3-java,
libjboss-xml-binding-java,
libjibx1.1-java,
libjibx1.2-java,
libspring-ldap-java,
libspring-security-2.0-java,
libspring-java,
libxbean-java,
libxstream-java,
mauve,
maven-ejb-plugin,
maven-war-plugin,
mule,
netbeans,
openjpa,
plexus-compiler,
rome,
sisu-guice,
sumo,
uima-addons,
velocity,
virtuoso-opensource,
