aranym,
asc,
flush,
fox1.6,
gemanx-gtk2,
inkscape,
iptux,
k3d,
kde-runtime,
kde4libs,
kdewebdev,
kolabadmin,
kst,
kde-baseapps,
libqxt,
maelstrom,
mkvtoolnix,
meshlab,
pcmanx-gtk2,
pyside,
qt4-x11,
qtmobility,
scribus,
scummvm,
wesnoth-1.10,
wxwidgets2.8,
virtuoso-opensource,
xbmc,
