activemq,
asm,
asm2,
asm3,
beansbinding,
carmetal,
castor,
ecj,
eclipse,
eclipse-cdt,
eclipselink,
geronimo-jpa-2.0-spec,
glassfish,
groovy,
groovy1.7.2,
hsqldb,
ikvm,
jakarta-taglibs-standard,
jaxme,
jcm,
jenkins-commons-jelly,
jenkins-commons-jexl,
josql,
jtb,
jbossas4,
josm,
jython,
libcommons-el-java,
libcommons-jexl-java,
libcommons-jxpath-java,
libfreemarker-java,
libhibernate3-java,
libjboss-aop-java,
libsaxon-java,
libspring-webflow-2.0-java,
libspring-java,
libxalan2-java,
logisim,
msv,
netbeans,
openjpa,
pentaho-reporting-flow-engine,
saxonb,
sisc,
tiles,
tomcat6,
tomcat7,
weka,
wsdl2c,
