9wm,
acm,
acpid,
adns,
afterstep,
almanah,
amanda,
apache2,
asterisk,
at-spi2-atk,
atris,
audit,
awesome,
bind9,
bird,
blender,
bluez,
cairo-5c,
calcurse,
charybdis,
chromium-browser,
conntrack,
ctn,
insighttoolkit,
elinks,
elk,
elmerfem,
elvis,
fish,
fossil,
freebirth,
freebsd-utils,
freegish,
freeimage,
freeradius,
freerdp,
freedroidrpg,
fuse-emulator,
gargoyle-free,
gdcm,
geomview,
globus-rls-server,
gltron,
glusterfs,
gnomekiss,
gnu-efi,
goo,
gromacs,
gsoap,
gstreamer-sharp,
gtk-gnutella,
gtk-sharp2,
hamlib,
httperf,
icecast2,
icedove,
iceweasel,
ircd-hybrid,
ircd-ratbox,
irsim,
iscsitarget,
iw,
jwm,
kinput2,
larswm,
lbreakout2,
lcd4linux,
libcaca,
libee,
libev,
libevent,
libeventdb,
libgii,
liblscp,
libplayer,
libtrace3,
libvirt,
linphone,
linux,
linux-tools,
ltris,
lttv,
lush,
lyskom-server,
mbr,
mc,
mgetty,
mimedefang,
monit,
motion,
nap,
navit,
net-snmp,
netsurf,
ntop,
ntp,
open-axiom,
openarena,
openbox,
openhpi,
openipmi,
openjpeg,
openmpi,
openswan,
openvpn,
pal,
pegasus-wms,
pgbouncer,
petitboot,
polipo,
proftpd-dfsg,
proxycheck,
pygame,
qemu,
qemu-kvm,
qiv,
qutecom,
rp-pppoe,
ruby-passenger,
rxvt-beta,
s3d,
scheme48,
scsh-0.6,
slurm-llnl,
smbnetfs,
spacenavd,
st,
starpu,
subtle,
squid,
swi-prolog,
tarantool,
tcm,
telepathy-logger,
tinc,
tintin++,
unagi,
upstart,
uwsgi,
vlc,
vnc4,
webcit,
wily,
wine,
wine-gecko-1.4,
wmaker,
wmii,
wuzzah,
xawtv,
xblast-tnt,
xbmc,
xcb-util,
xenomai,
xgalaga,
xine-ui,
xneur,
xpilot-ng,
xpyb,
xtux,
zapping,
