antlr,
apache-mime4j,
batik,
biojava3-live,
boo,
cadencii,
cdi-api,
chromium-browser,
cortado,
eclipse,
eclipse-cdt,
ehcache,
fop,
freecol,
glassfish,
gridengine,
htmlunit,
ikvm,
jackrabbit,
java-gnome,
jenkins-htmlunit,
jftp,
jinput,
jmol,
jvyamlb,
knopflerfish-osgi,
libbtm-java,
libcaca,
libcobra-java,
libflexdock-java,
libjaxp1.3-java,
libjboss-cache2-java,
libjboss-cache3-java,
libisrt-java,
libjboss-metadata-java,
libjgroups-java,
libjgroups2.6-java,
liblastfm-java,
libspring-webflow-2.0-java,
logback,
mina2,
mondrian,
netbeans,
mpich2,
openvrml,
osgi-compendium,
pegasus-wms,
pixelmed,
portlet-api-2.0-spec,
robocode,
stapler-adjunct-timeline,
swt-gtk,
triplea,
weirdx,
xml-commons-external,
