0ad,
9base,
alpine,
anjuta-extras,
apbs,
aribas,
avinfo,
bam,
bb,
bibtool,
bind9,
binfmtc,
bison,
blobby,
bluefish,
bsdgames,
chasen,
cksfv,
cloog,
cmucl,
cook,
ctn,
denemo,
drawterm,
duma,
dx,
elk,
emacs23,
evolution,
electric-fence,
exifprobe,
faucc,
faumachine,
ffproxy,
fftw3,
file,
flashrom,
fontforge,
freebsd-buildutils,
freebsd-smbfs,
freeciv,
freeradius,
freedroidrpg,
freetds,
gambas3,
garmin-forerunner-tools,
gbonds,
gcal,
geeqie,
ggobi,
ghex,
gimp,
glabels,
glide,
gnu-efi,
gnu-smalltalk,
gnumeric,
gnuplot,
golang,
gpaint,
gpick,
gpiv,
grass,
gsl,
gsmc,
gtk-gnutella,
gtkwave,
guile-1.6,
guile-1.8,
guile-2.0,
gutenprint,
hedgewars,
heimdal,
helium,
icmake,
icmpinfo,
inetutils,
infon,
ipset,
ipxe,
isc-dhcp,
isl,
jpilot,
ksh,
ladr,
ldapvi,
libaal,
libexplain,
libgdiplus,
lie,
linux-atm,
link-grammar,
lsof,
lttv,
lua5.1,
lua50,
luatex,
mailutils,
maloc,
mawk,
mgp,
minc,
mopd,
moria,
mozart,
multipath-tools,
ncurses-hexedit,
netkit-ntalk,
netpanzer,
netsurf,
newlib,
nmap,
ntp,
nwchem,
nvtv,
openldap,
opensc,
openswan,
openwince-jtag,
otter,
pcb,
php5,
plan,
plastimatch,
pmw,
poppler,
postgresql-8.4,
postgresql-9.1,
pspp,
r-base,
racket,
radare2,
rc,
reiser4progs,
remake,
rggobi,
samba,
samba4,
sbcl,
scratchbox2,
slurm-llnl,
snacc,
slrn,
splint,
spring,
strongswan,
subsurface,
sweep,
syslinux,
systemtap,
tagua,
task-spooler,
tcptrace,
teem,
tenace,
the,
tkgate,
trickle,
ucblogo,
viking,
vnc4,
wesnoth-1.10,
wine,
wireshark,
wmii,
wordgrinder,
xfsprogs,
xmille,
xnee,
xpaint,
texlive-bin,
xterm,
ytree,
zathura,
