aranym,
bsnes,
chromium-browser,
dosbox,
falconpl,
gle-graphics,
glob2,
gnash,
inkscape,
kde-workspace,
kdegames,
lammps,
liggghts,
mapnik,
mcrl2,
mkvtoolnix,
mednafen,
mrmpi,
muse,
mysql-5.5,
ode,
paraview,
scummvm,
ucommon,
vtk,
wxwidgets2.8,
xmoto,
