4store,
9base,
apcupsd,
aegisub,
aespipe,
amarok,
anubis,
asterisk,
avfs,
ayttm,
barnowl,
beecrypt,
bglibs,
bind9,
ax25-tools,
bacula,
binutils,
binutils-h8300-hms,
bip,
bird,
bitlbee,
blahtexml,
blender,
boinc,
boost1.49,
buildtorrent,
cabextract,
cc1111,
cctools,
centerim,
chromium-browser,
chrony,
citadel,
clamav,
claws-mail,
cluster-glue,
cmake,
colo,
cone,
cook,
coreutils,
courier,
cpl,
cpu,
criticalmass,
curl,
cvs,
cvstrac,
cxxtools,
cyrus-sasl2,
dancer-ircd,
dc3dd,
dcfldd,
ddns3-client,
courier-authlib,
cups,
cdrkit,
dibbler,
dico,
dictd,
dietlibc,
dillo,
djmount,
donkey,
dovecot,
doxygen,
dpkg,
drawterm,
docsis,
dropbear,
dsbltesters,
dsniff,
dvdisaster,
dynalogin,
eglibc,
electricsheep,
elfutils,
elinks,
emacs23,
espresso,
exim4,
ez-ipupdate,
falconpl,
fceu,
fdupes,
feh,
fftw3,
fio,
flac,
flake,
fossil,
freeciv,
freeradius,
freetds,
fwknop,
gammu,
gargoyle-free,
gcc-h8300-hms,
gccxml,
gcl,
gdb,
gdcm,
geoip,
ghc,
ghostscript,
glusterfs,
gmerlin,
gmerlin-avdecoder,
gnet,
gnu-smalltalk,
gnubg,
gnucash,
gnulib,
gnumeric,
gnupg,
gnutls26,
golang,
graphviz,
grib-api,
gromacs,
grub,
grub2,
gsasl,
gstreamer0.10-ffmpeg,
hardinfo,
haskell-cryptohash,
heartbeat,
heimdal,
heirloom-mailx,
htmldoc,
httrack,
iaxmodem,
icecast2,
icedove,
iceweasel,
ike-scan,
imms,
inn2,
iodine,
ioquake3,
ipmitool,
ipv6calc,
ipxe,
isakmpd,
iscsitarget,
isdnutils,
isomd5sum,
jack-audio-connection-kit,
jigit,
jocaml,
jpeginfo,
kannel,
kbuild,
kdenetwork,
kino,
krb5,
l2tpns,
lastfm,
lcdf-typetools,
lcrack,
lftp,
libaudio-scan-perl,
libauthen-tacacsplus-perl,
libav,
libbpp-raa,
libbsd,
libdc0,
libdvdread,
libesmtp,
libetpan,
libgcrypt11,
libiksemel,
libinstpatch,
libiscsi,
libisofs,
libkarma,
liblrdf,
libmicrohttpd,
libnbio,
libmkv,
libnice,
liboil,
libpam-pwdfile,
libpam-radius-auth,
libpgm,
libpam-tacplus,
librep,
libsieve,
libsylph,
libtomcrypt,
libupnp,
libupnp4,
libvalhalla,
libvirt,
libvncserver,
libxcrypt,
libyahoo2,
lighttpd,
linux,
lio-utils,
logjam,
loudmouth,
lprng,
lrzip,
lsh-utils,
lua-md5,
luatex,
lwipv6,
mactelnet,
mailutils,
mairix,
masqmail,
mboxgrep,
md5deep,
mediatomb,
medusa,
mhash,
miredo,
mknbi,
moc,
mod-gearman,
mongodb,
monit,
mplayer,
mpop,
msmtp,
mupen64plus-core,
mutt,
mysql-5.5,
nap,
neko,
net-snmp,
netcf,
nettle,
netrw,
nitrogen,
nsis,
nss,
ntp,
nwchem,
obexpushd,
ocaml,
octave,
olsrd,
onak,
nmh,
open-iscsi,
openafs,
openipmi,
openldap,
openscap,
openssl,
openswan,
otp,
owl,
pam,
parchive,
outguess,
pdfcrack,
pdns,
pgbouncer,
pgpool2,
php5,
pidgin,
pilot-link,
polarssl,
polipo,
popa3d,
pork,
portslave,
postal,
postgresql-8.4,
postgresql-9.1,
ppp,
prboom,
prelink,
pspp,
psqlodbc,
ptunnel,
python-daap,
python2.6,
python2.7,
qfits,
qof,
qsf,
qstat,
qtscrob,
quagga,
qutecom,
r-base,
r-cran-digest,
rabbitsign,
radiusclient,
radiusclient-ng,
radiusd-livingston,
rdd,
reaver,
redsocks,
remind,
reprepro,
rhash,
rserve,
rsync,
rp-pppoe,
ruby1.8,
ruby1.9.1,
samba,
samba4,
samtools,
sane-backends-extras,
scanssh,
scilab,
sane-backends,
scsh-0.6,
sdcc,
sflphone,
sharutils,
shell-fm,
shishi,
siege,
sipcrack,
slashem,
sleuthkit,
slirp,
sipsak,
solid-pop3d,
spamprobe,
spring,
springlobby,
sqlite,
squid3,
sra-sdk,
srg,
stardict,
strongswan,
subversion,
squid,
swi-prolog,
sxid,
sylpheed,
syrep,
syslinux,
tacacs+,
tcllib,
tcltrf,
tgt,
tiger,
tla,
tokyocabinet,
torque,
u-boot,
uclibc,
uclmmbase,
uhd,
unixodbc,
usbprog,
uswsusp,
util-linux,
vagalume,
vdmfec,
vdr-plugin-epgsearch,
u3-tool,
virtualbox,
vlc,
wavpack,
wget,
wine-gecko-1.4,
wipe,
wireshark,
witty,
wmcoincoin,
wpa,
wv,
weplab,
xbmc,
xen,
xine-lib,
xine-lib-1.2,
xl2tpd,
xmms2-scrobbler,
xmount,
xmoto,
texlive-bin,
xsane,
xscorch,
xymon,
yaboot,
yardradius,
yasm,
yersinia,
zzuf,
