9base,
ack,
apex,
alpine,
angband,
arcboot,
arcload,
bc,
bind9,
blender,
cableswig,
cbmc,
cc1111,
cdde,
chromium-browser,
clang,
cmtk,
coccinelle,
cook,
cpm,
dbus-python,
cups,
insighttoolkit,
deborphan,
dict-gcide,
dmake,
dpkg,
drawterm,
dx,
elinks,
elk,
epm,
exim4,
fdclone,
fhist,
frama-c,
freerdp,
freedroidrpg,
fstrcmp,
gammu,
gap,
gargoyle-free,
gauche,
glib2.0,
grass,
heimdal,
htmldoc,
icedove,
iceweasel,
ikarus,
imagemagick,
iperf,
ipxe,
kexec-tools,
kino,
ksh,
kstart,
ladr,
jwhois,
krb5-sync,
libaal,
libcaca,
libdebian-installer,
libestr,
libexplain,
libfixposix,
libgii,
libgetdata,
libhx,
libmaa,
libnih,
libpam-krb5,
libpgm,
libreoffice,
libssh,
linux,
linux-tools,
linux86,
lush,
mig,
minc,
mit-scheme,
mknbi,
mlton,
mono,
mplayer,
muddleftpd,
mysql-5.5,
naspro-core,
neko,
netcdf,
netsurf,
netw-ib-ox-ag,
newlib,
mpich2,
nickle,
nip2,
ntp,
nspr,
openarena,
openbios-ppc,
openbios-sparc,
openldap,
openswan,
paraview,
openvswitch,
pgbouncer,
php5,
pmw,
racket,
remctl,
ruby1.8,
ruby1.9.1,
s3d,
samba,
samba4,
sendfile,
serd,
sflphone,
sigscheme,
spl,
stellarium,
swi-prolog,
swig2.0,
syslinux,
systemtap,
teem,
tin,
tuxpaint,
u-boot,
uim,
unionfs-fuse,
virtualbox,
vnc4,
vtk,
webauth,
wily,
win32-loader,
wine,
wine-gecko-1.4,
wmaker,
x11-apps,
virtuoso-opensource,
why,
xdmf,
xen,
xfaces,
xorg-server,
yforth,
yagiuda,
zsh,
zsh-beta,
