aide,
amanda,
ample,
apf,
autofs,
avfs,
beecrypt,
bind9,
bacula,
bitlbee,
bogofilter,
burp,
canlock,
chromium-browser,
citadel,
claws-mail,
cluster-glue,
cmake,
cone,
coreutils,
courier,
cpu,
criticalmass,
csound,
curl,
cutter-testing-framework,
dc3dd,
dcap,
cdrkit,
dibbler,
dico,
dict-gcide,
dmg2img,
dns2tcp,
dnssec-tools,
dovecot,
dsniff,
dspam,
easytag,
eglibc,
elinks,
dsc-statistics,
exim4,
fetchmail,
freepops,
fwknop,
g2ipmsg,
gambas3,
gammu,
gcx,
gkrellm,
glib2.0,
gmerlin-avdecoder,
gnet,
gnulib,
gnupg2,
gogoc,
gsasl,
gstreamer0.10-ffmpeg,
gtk-gnutella,
heimdal,
heirloom-mailx,
httptunnel,
icedove,
iceweasel,
iodine,
ipxe,
isc-dhcp,
kino,
ksh,
lcrack,
ldapvi,
libav,
libcdaudio,
libbind,
libdiscid,
libesmtp,
libetpan,
libgadu,
libgeier,
libguestfs,
libgwenhywfar,
libiksemel,
libindi,
libmaa,
libmicrohttpd,
libowfat,
libplist,
libssh,
librsync,
libsylph,
libvirt,
loudmouth,
lua-apr,
macopix,
maildrop,
mailutils,
masqmail,
mod-gearman,
monit,
mplayer,
mpop,
msmtp,
munge,
mutt,
mysql-5.5,
nagios-plugins,
netcf,
netsurf,
newlib,
nmap,
ntp,
nspr,
open-vm-tools,
openafs,
opendkim,
openldap,
opensc,
openssh,
openssl,
openswan,
openvpn,
pam-p11,
pam-pkcs11,
partman-crypto,
pavuk,
pdns,
perdition,
php5,
polarssl,
proxytunnel,
pspp,
publib,
pulseaudio,
pykerberos,
qsf,
qutecom,
radare2,
rdup,
reaver,
recode,
recutils,
redsocks,
roaraudio,
rpm,
samba,
samba4,
sflphone,
shishi,
siege,
sofia-sip,
smsclient,
softhsm,
squid3,
ssmtp,
squid,
swfmill,
swftools,
swish++,
sylpheed,
syslinux,
telepathy-gabble,
tin,
uclmmbase,
ucspi-proxy,
varnish,
vips,
virtualbox,
webauth,
weborf,
wide-dhcpv6,
wine,
wine-gecko-1.4,
wireshark,
wmcoincoin,
wpa,
xdelta,
xine-lib,
xmlrpc-epi,
xmlsec1,
yafc,
yaz,
zsync,
