activemq,
antelope,
asm2,
asm3,
axis,
azureus,
classworlds,
cyrus-sasl2,
db,
db4.7,
db4.8,
eclipse,
eclipse-emf,
eclipse-rse,
glassfish,
htmlunit,
ikvm,
javassist,
jcifs,
jedit,
jenkins-htmlunit,
jenkins-xstream,
jetty,
jetty8,
jbossas4,
libbluray,
libdb-je-java,
libgnuinet-java,
libjboss-common-java,
libjboss-vfs-java,
libjboss-web-services-java,
libxstream-java,
mule,
netbeans,
omegat,
owasp-java-html-sanitizer,
red5,
sisu-ioc,
svgsalamander,
tomcat6,
tomcat7,
uima-as,
wsdl2c,
xhtmlrenderer,
